title_norm,n
data engineer,601
senior data engineer,405
machine learning engineer,219
ai engineer,197
artificial intelligence engineer,123
senior machine learning engineer,108
senior ai engineer,100
ai/machine learning engineer,86
lead data engineer,79
generative ai engineer,45
senior ai/machine learning engineer,32
staff data engineer,30
staff machine learning engineer,29
applied ai engineer,29
ai software engineer,28
data engineer 2,27
lead ai engineer,25
aws data engineer,25
data engineer 3,24
principal data engineer,24
principal ai engineer,24
data platform engineer,23
ai platform engineer,21
agentic ai engineer,21
ai developer,20
azure data engineer,18
principal machine learning engineer,17
ai automation engineer,16
full stack ai engineer,16
founding ai engineer,15
