group,n_postings,n_unique_titles,unique_per_1k,hhi,top10_share,top50_share
arshkon_2024,4008,2073,517.22,0.004684,0.1582,0.3348
asaniczka_2024,13725,6526,475.48,0.004869,0.1471,0.2958
pooled_2024,17733,8134,458.69,0.004489,0.1423,0.2943
scraped_2026,33243,16914,508.8,0.003445,0.1395,0.2621
scraped_2026-03,14375,8105,563.83,0.003326,0.1354,0.2585
scraped_2026-04,18868,10062,533.28,0.003606,0.1435,0.2672
