group,n,share_any_ai_term,share_ai,share_ml,share_data,share_llm,share_agent,share_genai
arshkon_2024,4008,0.1275,0.017,0.0262,0.0881,0.0005,0.0005,0.0035
asaniczka_2024,13725,0.0902,0.0095,0.0165,0.0674,0.0006,0.0,0.0016
pooled_2024,17733,0.0986,0.0112,0.0187,0.0721,0.0006,0.0001,0.002
scraped_2026-03,14375,0.2346,0.0984,0.0528,0.1066,0.0023,0.0079,0.0082
scraped_2026-04,18868,0.2461,0.109,0.054,0.1075,0.003,0.01,0.0088
scraped_2026,33243,0.2412,0.1044,0.0535,0.1071,0.0027,0.0091,0.0085
