group,n_postings,n_unique_titles,unique_per_1k,hhi,top10_share,top50_share
arshkon_2024,4691,2424,516.73,0.004486,0.1541,0.327
asaniczka_2024,18129,8470,467.21,0.003872,0.1291,0.2648
pooled_2024,22820,10362,454.08,0.003689,0.1267,0.2656
scraped_2026,45317,22094,487.54,0.003398,0.1369,0.2528
scraped_2026-03,19740,10839,549.09,0.003097,0.1305,0.2452
scraped_2026-04,25577,13173,515.03,0.003698,0.1425,0.2605
