title_norm,n
data engineer,550
senior data engineer,398
machine learning engineer,216
ai engineer,166
senior machine learning engineer,135
artificial intelligence engineer,129
senior ai engineer,86
lead data engineer,82
ai/machine learning engineer,68
generative ai engineer,40
staff machine learning engineer,37
staff data engineer,35
lead ai engineer,34
ai software engineer,34
senior ai/machine learning engineer,30
data engineer 2,28
applied ai engineer,27
principal data engineer,25
data engineer 3,25
principal machine learning engineer,24
principal ai engineer,23
ai platform engineer,20
data platform engineer,20
aws data engineer,18
agentic ai engineer,17
lead machine learning engineer,16
senior ai software engineer,16
founding ai engineer,15
ai developer,14
data engineer senior,14
