title_normalized,arshkon_n,asaniczka_n,source_n,scraped_n,top_employers_2024
c#/.net developer,2,118,120,1,"[""Syms Strategic Group, LLC (SSG)"", ""Ebyte Technologies Inc""]"
manager devops - remote,0,60,60,0,"[""KPMG US""]"
senior systems engineer with security clearance,0,51,51,0,"[""ClearanceJobs"", ""other Systems Engineers"", ""State College""]"
senior software engineer with security clearance,0,50,50,2,"[""ClearanceJobs""]"
authentication services lead platform engineer (active directory sso aws),0,41,41,0,"[""Jobs for Humanity"", ""Capital One""]"
java architect,15,24,39,1,"[""Quantum World Technologies Inc."", ""Photon"", ""iTech Solutions"", ""Tata Consultancy Services"", ""Smart TechLink Solutions Inc.""]"
senior dotnet developer,19,12,31,2,"[""Infosys"", ""ACL Digital"", ""Amtex Systems Inc."", ""Visionyle Solutions"", ""Photon""]"
automation tester,1,27,28,2,"[""Wise Skulls"", ""Zortech Solutions"", ""Sunrise Systems, Inc."", ""OSO Ventures Inc"", ""Tata Consultancy Services""]"
senior lead engineer- generative ai engineering (remote-eligible),0,27,27,0,"[""Capital One"", ""Jobs for Humanity"", ""RemoteWorker US""]"
senior java engineer,3,22,25,2,"[""FIS"", ""VeeAR Projects Inc."", ""Pozent Corporation"", ""Orion Innovation"", ""Storm4""]"
embedded engineer,4,19,23,2,"[""The Ash Group"", ""Latitude Inc"", ""NR Consulting"", ""CONMED Corporation"", ""Reveille Technologies,Inc""]"
lead software engineer full stack (reactjs nodejs python aws),0,19,19,0,"[""Capital One"", ""Jobs for Humanity""]"
database developer,9,10,19,2,"[""Ria Money Transfer"", ""tCognition"", ""Kavaliro"", ""Mitchell Martin Inc."", ""Russell Tobin""]"
manager software engineering full stack,0,17,17,1,"[""Capital One"", ""Jobs for Humanity""]"
senior software architect,3,14,17,2,"[""CACI International Inc"", ""Kane Partners LLC"", ""Nexee LLC"", ""Nascent Technologies Inc."", ""CyberCoders""]"
senior software engineer backend (golang),2,15,17,0,"[""Capital One"", ""SimplyApply"", ""ClickJobs.io""]"
senior lead platform engineer (iam),0,17,17,0,"[""Capital One"", ""ClickJobs.io""]"
lead software engineer full stack (java python angular react),0,17,17,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
senior software engineer full stack (java/aws),0,16,16,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
senior software engineer backend (go java),0,16,16,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
senior database developer,5,11,16,0,"[""Crawford Thomas Recruiting"", ""Epsilon"", ""Next Talent Solutions"", ""Healthmap Solutions"", ""Sherwin-Williams""]"
senior test engineer with security clearance,0,15,15,0,"[""ClearanceJobs""]"
senior manager software engineering full stack,0,15,15,1,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
systems engineer 3 with security clearance,0,15,15,0,"[""ClearanceJobs""]"
senior php developer,6,9,15,2,"[""RadGov Inc."", ""Anveta, Inc"", ""VYZE INC"", ""Perr&Knight"", ""4 Corner Resources""]"
php developer,4,10,14,0,"[""WWT Tech"", ""United Software Group Inc"", ""Gateway Staffing"", ""Kaynes"", ""Synechron""]"
lead application developer,2,12,14,0,"[""Minnesota IT Services"", ""ADP"", ""TekIntegral"", ""Better Talent"", ""Public Health Management Corporation""]"
drupal developer,9,5,14,0,"[""Apetan Consulting LLC"", ""SKILL BIRD"", ""Esteemed Inc."", ""Aimic Inc"", ""Zodiac Solutions, Inc""]"
senior software developer with security clearance,0,14,14,0,"[""ClearanceJobs""]"
senior software engineer backend (golang aws),0,13,13,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
devops architect,6,7,13,0,"[""Quantum World Technologies Inc."", ""Ascentt"", ""Zodiac Solutions, Inc"", ""Sapphire Software Solutions Inc"", ""Salesforce""]"
embedded systems engineer,3,9,12,1,"[""Circuit Board Medics"", ""Ant-Tech Eu"", ""Randstad Digital Americas"", ""Allied OneSource"", ""Tata Consultancy Services""]"
senior software engineer (full stack/backend),0,12,12,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
lead data engineer (finops),1,11,12,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
lead salesforce developer,1,11,12,0,"[""Higher Talent Solutions LLC (USA)"", ""Bright Vision Technologies"", ""The Timberline Group, LLC"", ""Global Network Technologies"", ""TekIntegral""]"
.net architect,3,9,12,1,"[""Cloud Consulting Services Inc (CCSI)"", ""StellarMettle Placements"", ""Sonata Software North America Inc."", ""Mothership"", ""Intellectt Inc""]"
lead platform engineer,1,11,12,1,"[""Jobs for Humanity"", ""Capital One"", ""Cox Communications"", ""Fifth Third Bank"", ""ClickJobs.io""]"
senior principal systems engineer,1,11,12,2,"[""Northrop Grumman"", ""Leonardo DRS"", ""Belcan"", ""BAE Systems, Inc."", ""QinetiQ US (formerly Avantus Federal)""]"
lead software engineer backend (scala spark),0,12,12,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
automation engineer 3,0,12,12,2,"[""Talascend - Where Opportunities Await."", ""Gables Search Group"", ""Engineering Search Partners, Inc."", ""Baylor Genetics"", ""Shaw Industries""]"
senior system test engineer,1,10,11,1,"[""Intellectt Inc"", ""Aivres"", ""Aivres Systems Inc."", ""ZeroAvia"", ""Anduril Industries""]"
