title_norm,arshkon_n,scraped_n
senior software engineer,138,962
software engineer,97,848
data engineer,72,518
senior data engineer,37,361
full stack engineer,50,287
devops engineer,38,284
machine learning engineer,18,188
principal software engineer,15,189
staff software engineer,14,175
quality assurance engineer,18,151
senior devops engineer,20,141
test engineer,13,146
java developer,27,132
full stack developer,17,136
embedded software engineer,28,118
software developer,17,128
cloud engineer,25,112
site reliability engineer,19,114
system engineer,34,91
lead software engineer,14,109
application engineer,21,101
android developer,13,103
senior machine learning engineer,16,98
frontend developer,24,79
senior site reliability engineer,14,88
java full stack developer,10,90
java software engineer,14,71
lead data engineer,10,71
systems engineer,12,66
ios developer,17,59
servicenow developer,13,60
senior salesforce developer,16,56
software engineer in test,18,50
quality assurance automation engineer,10,56
senior systems engineer,12,48
automation engineer,25,32
reliability engineer,11,43
product engineer,12,42
software engineer intern,11,42
web developer,13,40
backend developer,14,37
python developer,30,18
senior infrastructure engineer,10,17
developer,10,17
