group,n_postings,n_unique_titles,unique_per_1k,hhi,top10_share,top50_share
arshkon_2024,3512,1836,522.78,0.004721,0.1572,0.3363
asaniczka_2024,11546,5468,473.58,0.005162,0.1525,0.3073
pooled_2024,15058,6889,457.5,0.004692,0.1465,0.302
scraped_2026,27822,14179,509.63,0.003617,0.1436,0.2717
scraped_2026-03,11970,6741,563.16,0.003556,0.1394,0.2694
scraped_2026-04,15852,8494,535.83,0.003743,0.147,0.2751
