title,n_arshkon,n_asaniczka,within_2024_cosine
software engineer,149,234,0.886
senior software engineer,171,860,0.8593
data engineer,86,109,0.883
senior data engineer,47,224,0.8487
devops engineer,57,45,0.8391
full stack engineer,58,41,0.8651
embedded software engineer,32,59,0.6794
cloud engineer,30,13,0.7733
java developer,41,68,0.7704
system engineer,42,85,0.8124
