group,n,share_junior,share_mid,share_senior,share_lead,share_principal,share_staff,share_director,share_manager,share_none
arshkon_2024,4008,0.0264,0.0035,0.2605,0.0546,0.0242,0.023,0.0025,0.0072,0.5981
asaniczka_2024,13725,0.0094,0.0043,0.4291,0.075,0.0375,0.0246,0.0014,0.0119,0.4067
pooled_2024,17733,0.0133,0.0041,0.391,0.0704,0.0345,0.0242,0.0016,0.0108,0.45
scraped_2026-03,14375,0.0356,0.0046,0.2766,0.0441,0.0322,0.0574,0.0058,0.0056,0.5382
scraped_2026-04,18868,0.0272,0.0056,0.2697,0.04,0.0366,0.0539,0.0056,0.0049,0.5566
scraped_2026,33243,0.0309,0.0051,0.2727,0.0418,0.0347,0.0554,0.0057,0.0052,0.5486
