title_norm,pooled_2024_n,scraped_n
c#/.net developer,120,1
manager devops - remote,60,0
java architect,35,0
senior dotnet developer,29,2
automation tester,27,0
embedded engineer,20,2
senior java engineer,19,2
database developer,18,2
senior software architect,16,2
senior php developer,15,0
senior database developer,15,0
lead application developer,14,0
drupal developer,14,0
php developer,13,0
devops architect,13,0
automation engineer 3,12,2
lead salesforce developer,12,0
.net architect,12,1
senior principal systems engineer,12,2
computer scientist,11,0
senior system test engineer,11,1
engineer systems 3,11,0
senior applications developer,10,0
senior programmer,10,1
technical systems engineer (electronic security),10,0
senior embedded systems engineer,10,2
embedded systems engineer,10,1
