group,n,share_any_ai_term,share_ai,share_ml,share_data,share_llm,share_agent,share_genai
arshkon_2024,4261,0.1291,0.0176,0.0263,0.0897,0.0007,0.0005,0.004
asaniczka_2024,15186,0.0851,0.0089,0.0159,0.0632,0.0006,0.0002,0.0014
pooled_2024,19447,0.0948,0.0108,0.0182,0.069,0.0006,0.0003,0.002
scraped_2026-03,16424,0.2317,0.0988,0.0623,0.0973,0.0025,0.0091,0.0094
scraped_2026-04,21185,0.2299,0.1013,0.059,0.0958,0.0028,0.0097,0.0082
scraped_2026,37609,0.2307,0.1002,0.0604,0.0965,0.0027,0.0094,0.0087
