group,n,share_ai_engineering,share_ml_infrastructure,share_data_engineering,share_platform_engineering,share_reliability_engineering,share_security_engineering,share_cloud_engineering,share_frontend_fullstack,share_backend,share_mobile,share_embedded_firmware,share_qa_testing,share_data_science,share_blockchain_crypto,share_robotics
arshkon_2024,4691,0.0107,0.0017,0.0735,0.0083,0.0226,0.0034,0.0269,0.1051,0.0328,0.0038,0.0177,0.0414,0.0017,0.0006,0.0
asaniczka_2024,18129,0.0049,0.0009,0.0542,0.0106,0.0177,0.0029,0.0124,0.0872,0.0279,0.0035,0.027,0.0538,0.0007,0.0003,0.0
pooled_2024,22820,0.006,0.0011,0.0582,0.0101,0.0187,0.003,0.0154,0.0909,0.0289,0.0036,0.0251,0.0512,0.0009,0.0004,0.0
scraped_2026,45317,0.0466,0.0028,0.0807,0.015,0.0225,0.0045,0.02,0.1181,0.0355,0.0083,0.017,0.035,0.0015,0.0004,0.0
