group,n,share_any_ai_term,share_ai,share_ml,share_data,share_llm,share_agent,share_genai
arshkon_2024,3512,0.1293,0.0174,0.0259,0.0897,0.0006,0.0006,0.0031
asaniczka_2024,11546,0.0881,0.009,0.0149,0.0667,0.0007,0.0,0.0013
pooled_2024,15058,0.0977,0.011,0.0175,0.0721,0.0007,0.0001,0.0017
scraped_2026-03,11970,0.2373,0.1006,0.0516,0.1076,0.0019,0.0083,0.0079
scraped_2026-04,15852,0.2489,0.1109,0.0537,0.1091,0.003,0.0109,0.0085
scraped_2026,27822,0.2439,0.1065,0.0528,0.1085,0.0025,0.0097,0.0082
