direction,category,n,share
midsr_2024,other,79,0.79
midsr_2024,tech_stack,8,0.08
midsr_2024,credential,5,0.05
midsr_2024,soft_skill,4,0.04
midsr_2024,method,2,0.02
midsr_2024,mgmt,1,0.01
midsr_2024,org_scope,1,0.01
midsr_2026,other,66,0.66
midsr_2026,tech_stack,10,0.1
midsr_2026,ai_domain,9,0.09
midsr_2026,sys_design,4,0.04
midsr_2026,org_scope,4,0.04
midsr_2026,ai_tool,3,0.03
midsr_2026,mgmt,2,0.02
midsr_2026,method,1,0.01
midsr_2026,soft_skill,1,0.01
