term,share_2024,share_2026,ratio_26_over_24,n_companies_2026,category
cursor,5.754733268113023e-05,0.023707606190319395,411.9670727691801,192,ai_tool
claude,0.00017264199804339068,0.03830534518713643,221.87732777228993,281,ai_tool
ai-assisted,0.00017264199804339068,0.03819558775107013,221.2415761167819,286,other
gemini,5.754733268113023e-05,0.010097684118099002,175.46745692020636,83,ai_tool
high-ownership,5.754733268113023e-05,0.00691471847217649,120.15706289101087,57,soft_skill
llm-based,0.00011509466536226047,0.012841620019756339,111.57441554165294,111,other
f-1,5.754733268113023e-05,0.006256173855778729,108.71353309186698,47,other
codex,5.754733268113023e-05,0.006146416419712436,106.80627812534298,51,ai_tool
ai-native,0.00011509466536226047,0.010097684118099002,87.73372846010318,87,other
ai-enabled,0.00017264199804339068,0.0135001646361541,78.19745362748327,109,other
llamaindex,0.00011509466536226047,0.0084513225771046,73.4293162111733,72,ai_tool
copilot,0.0005754733268113023,0.04082976621666118,70.94988475469214,299,ai_tool
auditability,0.00011509466536226047,0.007792777960706838,67.70755131160135,67,other
agent-based,0.00011509466536226047,0.00691471847217649,60.07853144550543,60,other
human-in-the-loop,0.00011509466536226047,0.006256173855778729,54.35676654593349,53,other
autogen,0.00011509466536226047,0.006146416419712436,53.40313906267149,54,ai_tool
outcomes-oriented,0.00011509466536226047,0.006146416419712436,53.40313906267149,24,org_scope
ready,0.00011509466536226047,0.006146416419712436,53.40313906267149,51,other
j-1,0.00011509466536226047,0.006036658983646142,52.4495115794095,45,other
rag,0.000978304655579214,0.04993963341016354,51.04711822167128,366,ai_domain
ai-first,0.00011509466536226047,0.005817144111513555,50.542256612885524,53,other
llm-powered,0.00023018933072452093,0.011414773350894523,49.58862912962353,95,other
anthropic,0.00034528399608678136,0.01602458566567885,46.409870852083564,122,ai_tool
retrieval-augmented,0.0005179259941301721,0.02140270003292723,41.32385760801961,169,ai_domain
high-stakes,0.00023018933072452093,0.008122050268905718,35.28421688069366,65,other
ai-generated,0.00028773666340565113,0.009548896937767533,33.186236417517286,75,other
multi,0.00023018933072452093,0.006585446163977609,28.60882449785973,54,other
hands,0.0009207573228980837,0.02392712106245198,25.986348918889252,193,other
cross,0.0006330206594924325,0.01635385797387773,25.83463545564303,130,other
production-grade,0.0021292513092018186,0.05213478213148941,24.485029975645713,379,other
langchain,0.0013235886516659954,0.03128086927889365,23.633376759101516,243,ai_tool
actually,0.0004028313287679116,0.009000109757436066,22.34212960785236,75,other
auditable,0.00034528399608678136,0.007463505652507957,21.615556287271797,66,other
real,0.0004028313287679116,0.008231807704972012,20.43487464132838,67,other
opentelemetry,0.0005179259941301721,0.010317198990231587,19.920218539250477,82,other
ai-driven,0.0024745353052886,0.04785424212490396,19.338678265219908,350,other
mcp,0.0010358519882603442,0.019975853364065415,19.284466883742482,161,ai_tool
multimodal,0.0005754733268113023,0.010865986170563056,18.881824168587425,80,ai_domain
chatgpt,0.0004028313287679116,0.007353748216441664,18.25515467958669,60,ai_tool
genai,0.0016113253150716463,0.02765887388870596,17.16529469871584,201,ai_domain
multi-agent,0.0011509466536226045,0.018768521567336188,16.30702996378005,142,ai_domain
messy,0.00034528399608678136,0.005597629239380968,16.211667215453847,47,other
market-leading,0.0010358519882603442,0.016792887718142906,16.211667215453847,68,other
high-impact,0.0034528399608678138,0.05465920316101416,15.83021622214905,384,other
guardrails,0.0014386833170282557,0.02228075952145758,15.486910328174735,174,other
openai,0.0018990619784772975,0.028756448249368894,15.142448522099494,220,ai_tool
ai-powered,0.0029349139667376417,0.04368345955438481,14.88406817012833,306,other
fast,0.0006905679921735627,0.010207441554165295,14.781225990560861,81,other
pinecone,0.0005179259941301721,0.007463505652507957,14.410370858181196,67,ai_tool
embeddings,0.000978304655579214,0.014048951816485567,14.360507983239394,124,ai_domain
driven,0.0009207573228980837,0.012622105147623752,13.70839507189112,101,other
hugging,0.00046037866144904186,0.006256173855778729,13.589191636483372,54,ai_tool
embed,0.001266041318984865,0.017122160026341784,13.524171580806417,131,other
prompts,0.0006905679921735627,0.009329382065634946,13.509722679544872,76,ai_domain
inference,0.0005754733268113023,0.007683020524640544,13.350784765667875,61,ai_domain
llm,0.005466996604707372,0.07046427395456042,12.889028300088384,472,ai_domain
won,0.0006905679921735627,0.008890352321369773,12.87397102403688,72,other
runbooks,0.0017839673131150372,0.022500274393590165,12.612492520561815,180,other
productionize,0.000748115324854693,0.009219624629568653,12.32380132215496,77,other
scoring,0.0005179259941301721,0.006256173855778729,12.079281454651886,54,other
confidence,0.0005179259941301721,0.005817144111513555,11.231612580641228,49,other
llms,0.006330206594924326,0.07057403139062672,11.148772213408368,469,ai_domain
governed,0.0005179259941301721,0.0057073866754472615,11.019695362138561,51,other
kubernetes-based,0.0005754733268113023,0.006256173855778729,10.871353309186699,54,tech_stack
agent,0.004546239281809288,0.04906157392163319,10.791683165015442,366,ai_domain
rollback,0.0008056626575358232,0.008561080013170892,10.626134813490758,72,other
probing,0.0006330206594924325,0.006695203600043903,10.576595723451172,29,other
reproducible,0.0008632099902169534,0.008890352321369773,10.299176819229503,78,other
sits,0.001496230649709386,0.015256283613214796,10.196478474878212,125,other
agents,0.0013811359843471254,0.01382943694435298,10.013088574250906,114,ai_domain
fastapi,0.0022443459745640788,0.022390516957523872,9.976410594125445,184,tech_stack
readiness,0.000978304655579214,0.009548896937767533,9.760657769858025,83,other
term,0.0005754733268113023,0.005597629239380968,9.72700032927231,49,other
high-throughput,0.0018990619784772975,0.018439249259137307,9.709661647758454,141,other
primitives,0.000978304655579214,0.00943913950170124,9.648466301238969,74,other
production-ready,0.0035679346262300743,0.03281747338382175,9.197890886946299,248,other
measurable,0.0033952926281866835,0.03117111184282735,9.180684923606965,235,other
responsibly,0.0008632099902169534,0.007792777960706838,9.027673508213514,66,other
traces,0.0010933993209414745,0.00976841180990012,8.933983790559704,82,other
non,0.0006330206594924325,0.005597629239380968,8.842727572065735,47,other
summarization,0.0006330206594924325,0.005487871803314674,8.669340756927191,49,other
compromising,0.0006330206594924325,0.005378114367248381,8.495953941788647,45,other
mlflow,0.0013235886516659954,0.011085501042695643,8.37533702690966,92,other
prompting,0.0009207573228980837,0.007683020524640544,8.344240478542421,66,ai_domain
annotation,0.000978304655579214,0.008122050268905718,8.302168677810274,49,other
instincts,0.0011509466536226045,0.009219624629568653,8.010470859400725,74,other
observability,0.018242504459918284,0.14509933047964,7.953915033894965,874,other
prometheus,0.0008056626575358232,0.006365931291845022,7.90148486131364,55,other
elevating,0.0008632099902169534,0.006804961036110196,7.883320528299126,60,other
fast-moving,0.002762271968694251,0.021512457468993523,7.787957779972927,166,other
microservices-based,0.0008056626575358232,0.006146416419712436,7.629019866095929,54,tech_stack
enterprise-grade,0.002704724636013121,0.020634397980463175,7.629019866095927,156,org_scope
slos,0.0022443459745640788,0.0169026451542092,7.531211919094699,131,other
rbac,0.0017264199804339069,0.012951377455822631,7.501869534994329,109,other
enterprise-scale,0.0018990619784772975,0.01415870925255186,7.455633050957384,115,org_scope
thrives,0.004316049951084767,0.03171989902315882,7.349289137672411,251,other
telemetry,0.0006905679921735627,0.005048842059049501,7.311144038341932,41,other
conversational,0.0018415146457961675,0.013280649764021513,7.211807842168807,113,other
mission-driven,0.0009207573228980837,0.006585446163977609,7.152206124464932,54,org_scope
loops,0.002186798641882949,0.015585555921413675,7.12711066437909,128,other
grafana,0.0011509466536226045,0.008122050268905718,7.056843376138733,70,other
temporal,0.0008632099902169534,0.006036658983646142,6.993268210587934,51,other
chatbots,0.0008056626575358232,0.005597629239380968,6.947857378051649,49,other
long,0.0008632099902169534,0.005926901547579849,6.866117879486335,51,other
high-scale,0.0017264199804339069,0.011744045659093403,6.8025427139355354,92,other
ai,0.04770673879265696,0.3240039512676984,6.791576189600476,1572,ai_domain
ecosystems,0.0010358519882603442,0.007024475908242784,6.781350992085269,61,other
observable,0.0015537779823905163,0.010536713862364174,6.781350992085269,91,other
post-incident,0.000748115324854693,0.005048842059049501,6.74874834308486,45,other
evolution,0.0008056626575358232,0.005378114367248381,6.675392382833937,46,other
git-based,0.0013811359843471254,0.008890352321369773,6.43698551201844,78,other
