term,z_score,count_arshkon_msr_2024,count_asaniczka_msr_2024,share_arshkon_msr_2024,share_asaniczka_msr_2024,ratio_a_over_b,category,direction
azure,21.343457281386737,1198,3087,0.007542180810878872,0.0036547942091579412,2.0636403527126572,tech_stack,arshkon_msr_2024
cloud,20.90643962408395,1965,6098,0.012370939309997482,0.007219609681712058,1.7135191312813238,tech_stack,arshkon_msr_2024
ai,16.44562744582315,458,956,0.0028834046839587004,0.0011318377920165182,2.5475423283238623,ai_domain,arshkon_msr_2024
ml,13.772640233639459,300,602,0.0018886930244270965,0.0007127263083618661,2.6499555330966786,ai_domain,arshkon_msr_2024
backend,13.496862601286681,432,1063,0.002719717955175019,0.0012585183817087435,2.1610474623996696,other,arshkon_msr_2024
data,13.425016775001827,3875,16284,0.02439561823218333,0.019279128248113998,1.2653901109128136,other,arshkon_msr_2024
cd,13.405131525084201,558,1529,0.0035129690254343993,0.0018102301087795569,1.940620150110538,tech_stack,arshkon_msr_2024
like,13.019948076843763,733,2241,0.004614706623016872,0.0026531887990680096,1.7393057835303272,other,arshkon_msr_2024
aws,12.607176394779755,1076,3702,0.0067741123142785195,0.00438291161720204,1.5455735606649017,tech_stack,arshkon_msr_2024
ci,12.597676371961189,600,1759,0.003777386048854193,0.002082534180080602,1.8138410812100063,tech_stack,arshkon_msr_2024
platform,11.534119152038587,922,3188,0.005804583228405943,0.0037743712143814435,1.5378941017483405,other,arshkon_msr_2024
best,11.081446676996084,978,3486,0.006157139259632335,0.004127182576328015,1.491850468391536,other,arshkon_msr_2024
react,10.799106307798493,494,1500,0.003110047846889952,0.0017758961171807294,1.7512555023923444,tech_stack,arshkon_msr_2024
application,10.517693980891265,1361,5264,0.008568370687484261,0.006232211440559573,1.3748523729026323,other,arshkon_msr_2024
hybrid,10.352541430914295,167,332,0.001051372450264417,0.00039306500726933477,2.6748055177142716,boilerplate,arshkon_msr_2024
java,10.209971886751605,1000,3699,0.006295643414756988,0.004379359824967679,1.4375716237939988,tech_stack,arshkon_msr_2024
services,10.157524645556125,1313,5106,0.008266179803575925,0.006045150382883203,1.3674068104213835,other,arshkon_msr_2024
business,10.073924119579047,1608,6469,0.010123394610929237,0.007658847988028092,1.321790774115584,org_scope,arshkon_msr_2024
cross-functional,9.914776004884864,430,1318,0.002707126668345505,0.0015604207216294676,1.734869725081958,other,arshkon_msr_2024
problem-solving,9.754002431966818,412,1259,0.002593805086879879,0.0014905688076870256,1.7401444827661385,other,arshkon_msr_2024
devops,9.72335433229259,650,2242,0.004092168219592043,0.002654372729812797,1.5416705324126232,tech_stack,arshkon_msr_2024
kubernetes,9.677630481604261,446,1401,0.002807856962981617,0.0016586869734468012,1.6928190839690542,tech_stack,arshkon_msr_2024
frameworks,9.628475024899855,658,2286,0.004142533366910098,0.0027064656825834315,1.5306062787228403,other,arshkon_msr_2024
net,9.327890170381325,489,1606,0.0030785696298161673,0.0019013927761281676,1.6191129305145995,other,arshkon_msr_2024
remote,9.2958373513605,195,469,0.0012276504658776128,0.0005552635193051748,2.2109330492552886,boilerplate,arshkon_msr_2024
high-quality,9.10432320423543,231,607,0.0014542936288088643,0.0007186459620858018,2.0236579700356416,other,arshkon_msr_2024
databricks,9.026572124388831,113,209,0.0007114077058675397,0.00024744152566051494,2.8750538292573316,tech_stack,arshkon_msr_2024
location,8.97853185974442,132,270,0.0008310249307479224,0.0003196613010925313,2.5997045244690673,boilerplate,arshkon_msr_2024
gcp,8.74209289036532,215,567,0.0013535633341727525,0.0006712887322943157,2.0163653418501064,tech_stack,arshkon_msr_2024
code,8.58698586911435,1506,6268,0.009481238982624025,0.007420877908325875,1.2776438448052787,other,arshkon_msr_2024
spring,8.438373590204606,368,1182,0.002316796776630572,0.0013994061403384147,1.6555571037228027,tech_stack,arshkon_msr_2024
iam,8.342813442558224,86,147,0.000541425333669101,0.00017403781948371148,3.1109636702830215,other,arshkon_msr_2024
api,8.114853673867092,509,1801,0.003204482498111307,0.0021322592713616624,1.5028578096250564,tech_stack,arshkon_msr_2024
llms,8.111231910856546,48,49,0.00030219088390833545,5.8012606494570494e-05,5.209055447915757,ai_domain,arshkon_msr_2024
rdbms,8.072144219862484,82,142,0.000516242760010073,0.00016811816575977573,3.070713730886958,other,arshkon_msr_2024
experimenting,8.05923697794976,46,45,0.0002895995970788215,5.3276883515421884e-05,5.435745823889868,other,arshkon_msr_2024
frontend,8.049436746445778,197,535,0.0012402417527071267,0.0006334029484611268,1.9580612242496416,other,arshkon_msr_2024
nosql,7.982591232301536,202,557,0.0012717199697809115,0.0006594494248464442,1.9284571672452933,other,arshkon_msr_2024
robust,7.875044103453725,252,755,0.001586502140518761,0.0008938677123143004,1.774873528445468,other,arshkon_msr_2024
web,7.822940793261975,1042,4231,0.006560060438176782,0.005009210981194444,1.3095995482730771,other,arshkon_msr_2024
teams,7.81500886672392,1443,6112,0.009084613447494333,0.007236184712139078,1.2554424477659365,other,arshkon_msr_2024
ui,7.810360501849613,281,874,0.0017690757995467137,0.0010347554709439716,1.7096559034694903,other,arshkon_msr_2024
laravel,7.74363540275729,41,38,0.0002581213800050365,4.498936830191181e-05,5.737386181394054,other,arshkon_msr_2024
staying,7.60772290321188,68,112,0.00042810375220347517,0.00013260024341616114,3.2285291578227864,other,arshkon_msr_2024
mobile,7.585635192430427,381,1302,0.0023986401410224126,0.0015414778297128731,1.5560652866925766,other,arshkon_msr_2024
identity,7.550987292448091,79,146,0.0004973558297658021,0.00017285388873892433,2.8773192977856583,other,arshkon_msr_2024
docker,7.501115761967808,342,1145,0.00215311004784689,0.0013556007027812902,1.5883069722738763,tech_stack,arshkon_msr_2024
cloud-based,7.4139455274064705,185,521,0.0011646940317300428,0.0006168279180341067,1.8881992816441273,other,arshkon_msr_2024
non-technical,7.347855073792148,146,379,0.0009191639385545203,0.000448709752274331,2.048459909542069,other,arshkon_msr_2024
typescript,7.318806685538632,267,849,0.0016809367917401158,0.0010051572023242927,1.6723123386602339,tech_stack,arshkon_msr_2024
technologies,7.317470311395794,1439,6184,0.009059430873835306,0.007321427725763754,1.2373858232535169,other,arshkon_msr_2024
stack,7.293838062391918,509,1880,0.003204482498111307,0.0022257898001998475,1.439705805922727,other,arshkon_msr_2024
internship,7.038497981826435,46,62,0.0002895995970788215,7.340370617680348e-05,3.9452993883071628,other,arshkon_msr_2024
observability,6.995193956295447,101,233,0.0006358599848904558,0.00027585586353540663,2.3050442964713054,other,arshkon_msr_2024
sql,6.943954876871807,817,3314,0.00514354066985646,0.003923546488224625,1.3109416914756304,tech_stack,arshkon_msr_2024
deliver,6.924027313198393,440,1612,0.002770083102493075,0.0019084963605968904,1.4514479354976184,other,arshkon_msr_2024
effectively,6.772012247446904,448,1661,0.0028204482498111307,0.0019665089670914612,1.4342412351074487,other,arshkon_msr_2024
cobol,6.698550136959507,35,39,0.0002203475195164946,4.6173299046698964e-05,4.7721848788330785,other,arshkon_msr_2024
restful,6.643871852656232,197,607,0.0012402417527071267,0.0007186459620858018,1.7258035502035556,other,arshkon_msr_2024
ux,6.639077946607865,137,375,0.0008625031478217074,0.00044397402929518236,1.9426882901032485,other,arshkon_msr_2024
tx,6.621853237711879,43,61,0.0002707126668345505,7.221977543201633e-05,3.7484562256688863,other,arshkon_msr_2024
updated,6.608789586537152,77,164,0.0004847645429362881,0.00019416464214509307,2.496667454901696,other,arshkon_msr_2024
event-driven,6.60534335675383,44,64,0.0002770083102493075,7.577156766637779e-05,3.6558344875346265,other,arshkon_msr_2024
spark,6.4285436091354455,172,519,0.001082850667338202,0.0006144600565445323,1.7622799981950066,tech_stack,arshkon_msr_2024
scala,6.370665585192341,125,341,0.0007869554268446235,0.00040372038397241917,1.9492585910608509,tech_stack,arshkon_msr_2024
node.js,6.257690101246739,150,441,0.0009443465122135483,0.0005221134584511344,1.8086998083040824,other,arshkon_msr_2024
rest,6.223053532991679,305,1083,0.0019201712415008814,0.0012821969966044866,1.4975633592855682,tech_stack,arshkon_msr_2024
closely,6.096988133696603,446,1715,0.002807856962981617,0.0020304412273099673,1.382880196291921,other,arshkon_msr_2024
build,6.075880927302134,893,3790,0.005622009569377991,0.004487097522743309,1.2529278761788136,other,arshkon_msr_2024
llm,6.0633491578608,36,51,0.00022664316293125158,6.03804679841448e-05,3.7535840727628247,ai_domain,arshkon_msr_2024
fostering,6.0586181083433335,62,129,0.00039032989171493325,0.00015272706607754273,2.5557348919199074,other,arshkon_msr_2024
