term,share_2024,share_2026,n_companies_2026,category
rag,0.000978304655579214,0.04993963341016354,366,ai_domain
copilot,0.0005754733268113023,0.04082976621666118,299,ai_tool
claude,0.00017264199804339068,0.03830534518713643,281,ai_tool
ai-assisted,0.00017264199804339068,0.03819558775107013,286,other
hands,0.0009207573228980837,0.02392712106245198,193,other
cursor,5.754733268113023e-05,0.023707606190319395,192,ai_tool
retrieval-augmented,0.0005179259941301721,0.02140270003292723,169,ai_domain
langgraph,0.0,0.01821973438700472,149,ai_tool
cross,0.0006330206594924325,0.01635385797387773,130,other
anthropic,0.00034528399608678136,0.01602458566567885,122,ai_tool
embeddings,0.000978304655579214,0.014048951816485567,124,ai_domain
ai-enabled,0.00017264199804339068,0.0135001646361541,109,other
llm-based,0.00011509466536226047,0.012841620019756339,111,other
driven,0.0009207573228980837,0.012622105147623752,101,other
llm-powered,0.00023018933072452093,0.011414773350894523,95,other
multimodal,0.0005754733268113023,0.010865986170563056,80,ai_domain
opentelemetry,0.0005179259941301721,0.010317198990231587,82,other
fast,0.0006905679921735627,0.010207441554165295,81,other
ai-native,0.00011509466536226047,0.010097684118099002,87,other
gemini,5.754733268113023e-05,0.010097684118099002,83,ai_tool
