direction,category,n,share
arshkon_2024,other,78,0.78
arshkon_2024,tech_stack,12,0.12
arshkon_2024,soft_skill,6,0.06
arshkon_2024,method,1,0.01
arshkon_2024,org_scope,1,0.01
arshkon_2024,mgmt,1,0.01
arshkon_2024,credential,1,0.01
scraped_2026,other,65,0.65
scraped_2026,ai_domain,12,0.12
scraped_2026,sys_design,8,0.08
scraped_2026,tech_stack,4,0.04
scraped_2026,org_scope,4,0.04
scraped_2026,mgmt,2,0.02
scraped_2026,boilerplate,2,0.02
scraped_2026,soft_skill,2,0.02
scraped_2026,credential,1,0.01
