target,nmi,n
seniority_combined (known only),0.0155,1912
"yoe_junior (<=2 vs >2, yoe known)",0.0078,5222
period_bucket,0.0219,8000
primary_language (python/java/javascript/typescript/rust/csharp),0.1119,8000
text_source (llm vs rule),0.0219,8000
data source,0.0215,8000
is_aggregator,0.019,8000
