period_bucket,sen,n
2024,associate,8
2024,director,7
2024,entry,93
2024,mid-senior,1156
2024,unknown,1400
2026-03,associate,5
2026-03,director,8
2026-03,entry,35
2026-03,mid-senior,264
2026-03,missing,254
2026-03,unknown,2100
2026-04,associate,5
2026-04,director,11
2026-04,entry,19
2026-04,mid-senior,301
2026-04,missing,1388
2026-04,unknown,946
