bertopic_topic,nmf_component,top_term_jaccard,intersection_size
4,0,0.0345,1
0,1,0.0,0
0,2,0.0,0
1,3,0.3636,8
5,4,0.2,5
10,5,0.0714,2
2,6,0.4286,9
17,7,0.1111,3
3,8,0.5,10
7,9,0.1111,3
0,10,0.0,0
1,11,0.0345,1
