topic,umass_coherence
0,-0.5255
1,-1.2543
2,-1.4892
3,-1.2364
4,-1.4368
5,-1.1761
6,-1.459
7,-1.3666
8,-1.6357
9,-1.1785
10,-1.4796
11,-1.7438
12,-1.5261
13,-1.5304
14,0.0043
15,-0.9783
16,-2.5962
17,-0.4718
18,-1.1199
19,-1.0278
20,-1.5863
21,-1.5354
22,-2.5262
