bertopic_topic,nmf_component,top_term_jaccard,intersection_size
0,4,0.0345,1
1,3,0.3636,8
2,6,0.4286,9
3,8,0.5,10
4,4,0.1538,4
5,4,0.2,5
6,0,0.0,0
7,9,0.1111,3
8,9,0.0714,2
9,4,0.0714,2
10,5,0.0714,2
11,6,0.0345,1
12,9,0.0345,1
13,9,0.0714,2
14,0,0.0,0
15,6,0.0345,1
16,3,0.0345,1
17,7,0.1111,3
18,9,0.1111,3
19,0,0.0,0
20,0,0.0,0
21,0,0.0,0
22,9,0.0714,2
