archetype,2024,2026-03,2026-04,archetype_name,delta_2024_to_2026
1,0.04091591591591592,0.15191297824456115,0.149063670411985,T01_ai / learning / machine learning,0.10957240841235716
14,0.0,0.00450112528132033,0.022846441947565542,T14_dice / experts stage / leading career,0.013673783614442936
12,0.006756756756756757,0.01387846961740435,0.017602996254681647,T12_flight / software / vehicle,0.008983976179286243
10,0.014264264264264264,0.02250562640660165,0.01947565543071161,T10_embedded / firmware / embedded software,0.006726376654392364
20,0.0,0.002250562640660165,0.010861423220973783,T20_salary / employees / depending,0.006555992930816974
13,0.0075075075075075074,0.011252813203300824,0.009363295880149813,T13_radar / clearance / missile,0.0028005470342178105
8,0.019144144144144143,0.019879969992498126,0.022846441947565542,T08_test / testing / automation,0.002219061825887693
21,0.002627627627627628,0.004126031507876969,0.0048689138576779025,T21_expedia / travel / cash,0.001869845055149808
22,0.0033783783783783786,0.004876219054763691,0.00299625468164794,T22_test / manufacturing / equipment,0.0005578584898274369
6,0.027777777777777776,0.033008252063015754,0.02247191011235955,T06_android / mobile / ios,-3.769669009012419e-05
2,0.09046546546546547,0.09489872468117029,0.08164794007490636,T02_cloud / infrastructure / devops,-0.002192133087427134
15,0.010135135135135136,0.00450112528132033,0.009737827715355805,T15_site reliability / sre / reliability,-0.0030156586367970683
18,0.0075075075075075074,0.0033758439609902473,0.004119850187265918,T18_systems engineering / systems engineer / systems,-0.003759660433379425
0,0.13025525525525525,0.11252813203300825,0.13895131086142323,T00_software / technical / development,-0.004515533808039512
11,0.021396396396396396,0.012753188297074268,0.01610486891385768,T11_aws / services / years noninternship,-0.006967367790930424
19,0.00975975975975976,0.003000750187546887,0.0022471910112359553,T19_servicenow / itsm / servicenow platform,-0.007135789160368339
17,0.012387387387387387,0.0033758439609902473,0.0033707865168539327,T17_typescript sql / javascript java / sql python,-0.009014072148465297
16,0.013138138138138139,0.004876219054763691,0.0033707865168539327,T16_python / python developer / django,-0.009014635352329327
7,0.03228228228228228,0.02663165791447862,0.01947565543071161,T07_equipment / sales / customer,-0.009228625609687166
3,0.09009009009009009,0.08289572393098274,0.07565543071161049,T03_data / analytics / data engineer,-0.010814512768793472
-1,0.28603603603603606,0.27756939234808703,0.2700374531835206,noise_outliers,-0.012232613270232229
5,0.05067567567567568,0.037509377344336084,0.02883895131086142,T05_spring / java / spring boot,-0.017501511348076926
4,0.07957957957957958,0.061140285071267814,0.052808988764044947,T04_frontend / web / react,-0.0226049426619232
9,0.04391891891891892,0.006751687921980495,0.011235955056179775,T09_net / aspnet / net core,-0.034925097429838785
