archetype,period_bucket,n,total,share,variant
-1,2024,762,2664,0.28603603603603606,baseline
-1,2026-03,740,2666,0.27756939234808703,baseline
-1,2026-04,721,2670,0.2700374531835206,baseline
0,2024,347,2664,0.13025525525525525,baseline
0,2026-03,300,2666,0.11252813203300825,baseline
0,2026-04,371,2670,0.13895131086142323,baseline
1,2024,109,2664,0.04091591591591592,baseline
1,2026-03,405,2666,0.15191297824456115,baseline
1,2026-04,398,2670,0.149063670411985,baseline
2,2024,241,2664,0.09046546546546547,baseline
2,2026-03,253,2666,0.09489872468117029,baseline
2,2026-04,218,2670,0.08164794007490636,baseline
3,2024,240,2664,0.09009009009009009,baseline
3,2026-03,221,2666,0.08289572393098274,baseline
3,2026-04,202,2670,0.07565543071161049,baseline
4,2024,212,2664,0.07957957957957958,baseline
4,2026-03,163,2666,0.061140285071267814,baseline
4,2026-04,141,2670,0.052808988764044947,baseline
5,2024,135,2664,0.05067567567567568,baseline
5,2026-03,100,2666,0.037509377344336084,baseline
5,2026-04,77,2670,0.02883895131086142,baseline
6,2024,74,2664,0.027777777777777776,baseline
6,2026-03,88,2666,0.033008252063015754,baseline
6,2026-04,60,2670,0.02247191011235955,baseline
7,2024,86,2664,0.03228228228228228,baseline
7,2026-03,71,2666,0.02663165791447862,baseline
7,2026-04,52,2670,0.01947565543071161,baseline
8,2024,51,2664,0.019144144144144143,baseline
8,2026-03,53,2666,0.019879969992498126,baseline
8,2026-04,61,2670,0.022846441947565542,baseline
9,2024,117,2664,0.04391891891891892,baseline
9,2026-03,18,2666,0.006751687921980495,baseline
9,2026-04,30,2670,0.011235955056179775,baseline
10,2024,38,2664,0.014264264264264264,baseline
10,2026-03,60,2666,0.02250562640660165,baseline
10,2026-04,52,2670,0.01947565543071161,baseline
11,2024,57,2664,0.021396396396396396,baseline
11,2026-03,34,2666,0.012753188297074268,baseline
11,2026-04,43,2670,0.01610486891385768,baseline
12,2024,18,2664,0.006756756756756757,baseline
12,2026-03,37,2666,0.01387846961740435,baseline
12,2026-04,47,2670,0.017602996254681647,baseline
13,2024,20,2664,0.0075075075075075074,baseline
13,2026-03,30,2666,0.011252813203300824,baseline
13,2026-04,25,2670,0.009363295880149813,baseline
14,2026-03,12,2666,0.00450112528132033,baseline
14,2026-04,61,2670,0.022846441947565542,baseline
15,2024,27,2664,0.010135135135135136,baseline
15,2026-03,12,2666,0.00450112528132033,baseline
15,2026-04,26,2670,0.009737827715355805,baseline
16,2024,35,2664,0.013138138138138139,baseline
16,2026-03,13,2666,0.004876219054763691,baseline
16,2026-04,9,2670,0.0033707865168539327,baseline
17,2024,33,2664,0.012387387387387387,baseline
17,2026-03,9,2666,0.0033758439609902473,baseline
17,2026-04,9,2670,0.0033707865168539327,baseline
18,2024,20,2664,0.0075075075075075074,baseline
18,2026-03,9,2666,0.0033758439609902473,baseline
18,2026-04,11,2670,0.004119850187265918,baseline
19,2024,26,2664,0.00975975975975976,baseline
19,2026-03,8,2666,0.003000750187546887,baseline
19,2026-04,6,2670,0.0022471910112359553,baseline
20,2026-03,6,2666,0.002250562640660165,baseline
20,2026-04,29,2670,0.010861423220973783,baseline
21,2024,7,2664,0.002627627627627628,baseline
21,2026-03,11,2666,0.004126031507876969,baseline
21,2026-04,13,2670,0.0048689138576779025,baseline
22,2024,9,2664,0.0033783783783783786,baseline
22,2026-03,13,2666,0.004876219054763691,baseline
22,2026-04,8,2670,0.00299625468164794,baseline
-1,2024,614,2350,0.2612765957446809,no_aggregator
-1,2026-03,642,2208,0.2907608695652174,no_aggregator
-1,2026-04,644,2270,0.28370044052863436,no_aggregator
0,2024,327,2350,0.13914893617021276,no_aggregator
0,2026-03,268,2208,0.1213768115942029,no_aggregator
0,2026-04,348,2270,0.15330396475770924,no_aggregator
1,2024,101,2350,0.04297872340425532,no_aggregator
1,2026-03,357,2208,0.16168478260869565,no_aggregator
1,2026-04,349,2270,0.1537444933920705,no_aggregator
2,2024,221,2350,0.09404255319148937,no_aggregator
2,2026-03,202,2208,0.09148550724637682,no_aggregator
2,2026-04,174,2270,0.07665198237885462,no_aggregator
3,2024,220,2350,0.09361702127659574,no_aggregator
3,2026-03,175,2208,0.0792572463768116,no_aggregator
3,2026-04,165,2270,0.07268722466960352,no_aggregator
4,2024,195,2350,0.08297872340425531,no_aggregator
4,2026-03,140,2208,0.06340579710144928,no_aggregator
4,2026-04,125,2270,0.05506607929515418,no_aggregator
5,2024,121,2350,0.05148936170212766,no_aggregator
5,2026-03,62,2208,0.028079710144927536,no_aggregator
5,2026-04,50,2270,0.022026431718061675,no_aggregator
6,2024,70,2350,0.029787234042553193,no_aggregator
6,2026-03,69,2208,0.03125,no_aggregator
6,2026-04,47,2270,0.020704845814977973,no_aggregator
7,2024,79,2350,0.03361702127659574,no_aggregator
7,2026-03,68,2208,0.030797101449275364,no_aggregator
7,2026-04,50,2270,0.022026431718061675,no_aggregator
8,2024,49,2350,0.020851063829787235,no_aggregator
8,2026-03,39,2208,0.017663043478260868,no_aggregator
8,2026-04,51,2270,0.022466960352422908,no_aggregator
9,2024,103,2350,0.04382978723404255,no_aggregator
9,2026-03,13,2208,0.00588768115942029,no_aggregator
9,2026-04,21,2270,0.009251101321585903,no_aggregator
10,2024,33,2350,0.014042553191489362,no_aggregator
10,2026-03,39,2208,0.017663043478260868,no_aggregator
10,2026-04,46,2270,0.02026431718061674,no_aggregator
11,2024,45,2350,0.019148936170212766,no_aggregator
11,2026-03,29,2208,0.013134057971014492,no_aggregator
11,2026-04,40,2270,0.01762114537444934,no_aggregator
12,2024,15,2350,0.006382978723404255,no_aggregator
12,2026-03,27,2208,0.012228260869565218,no_aggregator
12,2026-04,41,2270,0.018061674008810574,no_aggregator
13,2024,19,2350,0.008085106382978723,no_aggregator
13,2026-03,15,2208,0.006793478260869565,no_aggregator
13,2026-04,19,2270,0.008370044052863436,no_aggregator
15,2024,26,2350,0.011063829787234043,no_aggregator
15,2026-03,6,2208,0.002717391304347826,no_aggregator
15,2026-04,25,2270,0.011013215859030838,no_aggregator
16,2024,28,2350,0.011914893617021277,no_aggregator
16,2026-03,11,2208,0.004981884057971014,no_aggregator
16,2026-04,6,2270,0.0026431718061674008,no_aggregator
