archetype,abs_delta_no_agg,abs_delta_llm
-1,0.024759440291355184,0.009682826536759115
0,0.01435265389628601,0.004530176440288802
1,0.009771804364134495,0.012311533659848245
2,0.004995957696051739,0.013923155496189207
3,0.0036384775541711406,0.009814654758474983
4,0.0033991438246757377,0.0015810656260094452
5,0.009429667199408548,0.0015691911459971147
6,0.0020094562647754166,0.00316911552866609
7,0.004165443534796743,0.0007263647713085936
8,0.002216926514237258,0.008233589132465538
9,0.001984853734593872,0.001134944955169673
10,0.004842582928340781,0.003057367102310922
11,0.0022474602261836306,0.005651152842164078
12,0.0016502087478391329,0.0028399814916668827
13,0.0044593349424312595,0.00237028888714282
14,0.022846441947565542,0.022846441947565542
15,0.0017837339769725038,0.001967819945348035
16,0.0012232445211168615,0.0036222204761530603
17,0.0016551658041019744,0.00026278340885082466
18,0.0005956211123760496,0.0036501575827418524
19,0.0016746533767810368,0.0006931894572344013
20,0.0019139071755019874,0.010861423220973783
21,0.0008579583890181326,0.0048689138576779025
22,0.0008001320982419522,0.002442750757357499
