archetype,archetype_name,n,top_terms,top_tech,pct_2024,pct_2026_03,pct_2026_04,entry_share_combined,entry_share_combined_n_known,yoe_junior_share_proxy,yoe_n_known,mean_desc_len,median_yoe,mean_tech_count
-1,noise_outliers,2223,,"python(1013), security(818), aws(672), java(644), javascript(610)",34.28,33.29,32.43,0.088,502,0.193,1394,2357.2,4.0,7.12
0,T00_software / technical / development,1018,"software, technical, development, design, team, business, experience, years","java(418), agile(390), python(379), security(372), sql(272)",34.09,29.47,36.44,0.11,327,0.295,759,2505.2,5.0,6.84
1,T01_ai / learning / machine learning,912,"ai, learning, machine learning, machine, ml, models, model, aiml","python(694), machine_learning(660), ai_agents(362), aws(310), llm(273)",11.95,44.41,43.64,0.06,151,0.172,581,2630.7,4.0,9.94
2,T02_cloud / infrastructure / devops,712,"cloud, infrastructure, devops, azure, kubernetes, security, terraform, aws","security(468), cicd(465), devops_practice(436), kubernetes(413), aws(410)",33.85,35.53,30.62,0.061,148,0.14,456,2334.7,5.0,10.18
3,T03_data / analytics / data engineer,663,"data, analytics, data engineer, data engineering, pipelines, data pipelines, databricks, sql","sql(460), python(452), aws(324), etl(302), spark(285)",36.2,33.33,30.47,0.079,164,0.162,445,2259.2,5.0,8.53
4,T04_frontend / web / react,516,"frontend, web, react, backend, javascript, stack, css, nodejs","javascript(360), react(338), typescript(232), html_css(180), nodejs(170)",41.09,31.59,27.33,0.077,142,0.18,305,1858.0,4.0,8.01
5,T05_spring / java / spring boot,312,"spring, java, spring boot, boot, angular, java spring, java developer, microservices","java(288), spring(216), microservices(157), agile(134), sql(131)",43.27,32.05,24.68,0.037,81,0.111,171,1435.3,6.0,9.55
6,T06_android / mobile / ios,222,"android, mobile, ios, native, app, kotlin, mobile applications, react native","android(167), ios(120), kotlin(107), swift(76), java(72)",33.33,39.64,27.03,0.13,54,0.191,136,1822.4,5.0,6.32
7,T07_equipment / sales / customer,209,"equipment, sales, customer, manufacturing, product, mechanical, electrical, maintenance","assembly(29), security(12), python(11), agile(5), machine_learning(5)",41.15,33.97,24.88,0.029,35,0.112,134,2586.4,5.0,0.61
8,T08_test / testing / automation,165,"test, testing, automation, qa, test automation, automated, selenium, test cases","selenium(90), cicd(84), agile(83), java(74), python(71)",30.91,32.12,36.97,0.028,36,0.202,119,2042.4,5.0,6.76
9,T09_net / aspnet / net core,165,"net, aspnet, net core, sql server, server, sql, net developer, web","dotnet(157), sql(123), sqlserver(79), azure(73), javascript(60)",70.91,10.91,18.18,0.015,67,0.078,103,1401.4,5.0,7.07
10,T10_embedded / firmware / embedded software,150,"embedded, firmware, embedded software, linux, kernel, hardware, embedded systems, embedded linux","python(66), security(44), cicd(34), c_lang(27), unit_testing(26)",25.33,40.0,34.67,0.038,26,0.155,103,2099.6,5.0,2.97
11,T11_aws / services / years noninternship,134,"aws, services, years noninternship, noninternship, design, golang, software development, architecture","aws(124), java(74), security(50), python(49), agile(48)",42.54,25.37,32.09,0.079,38,0.127,102,2001.6,3.0,8.54
12,T12_flight / software / vehicle,102,"flight, software, vehicle, space, flight software, aerospace, ground, embedded","python(55), security(44), cicd(31), agile(27), rust(18)",17.65,36.27,46.08,0.0,16,0.304,79,3125.6,4.0,4.89
13,T13_radar / clearance / missile,75,"radar, clearance, missile, systems engineering, systems, dod, secret, test","security(51), python(24), agile(22), cicd(16), integration_testing(15)",26.67,40.0,33.33,0.0,21,0.271,48,2708.1,4.0,3.53
14,T14_dice / experts stage / leading career,73,"dice, experts stage, leading career, dice today, stage careers, apply dice, careers client, dice leading","cicd(35), aws(31), security(28), sql(28), python(27)",0.0,16.44,83.56,0.0,0,0.053,38,2033.1,5.0,9.52
15,T15_site reliability / sre / reliability,65,"site reliability, sre, reliability, site, reliability engineer, reliability engineering, observability, incident","sre(63), python(38), aws(34), kubernetes(31), cicd(29)",41.54,18.46,40.0,0.0,16,0.171,41,2757.6,5.0,10.22
16,T16_python / python developer / django,57,"python, python developer, django, flask, django flask, frameworks django, experienceexperience python, title python","python(57), django(20), flask(19), sql(17), aws(15)",61.4,22.81,15.79,0.133,15,0.0,32,992.4,5.0,6.77
17,T17_typescript sql / javascript java / sql python,51,"typescript sql, javascript java, sql python, kubernetes variety, databases container, variety aws, open source, empowerment utilize","python(48), javascript(47), aws(46), docker(44), java(42)",64.71,17.65,17.65,0.086,35,0.116,43,1585.6,4.0,13.25
18,T18_systems engineering / systems engineer / systems,40,"systems engineering, systems engineer, systems, engineering, mbse, requirements, analysis, test","security(16), python(10), agile(9), typescript(8), assembly(3)",50.0,22.5,27.5,0.154,13,0.29,31,2365.3,4.0,2.05
19,T19_servicenow / itsm / servicenow platform,40,"servicenow, itsm, servicenow platform, servicenow developer, client scripts, experience servicenow, cmdb, servicenow certified","javascript(24), html_css(13), security(10), agile(10), angular(8)",65.0,20.0,15.0,0.0,14,0.185,27,1605.8,5.0,2.83
20,T20_salary / employees / depending,35,"salary, employees, depending, salary range, overtime shift, differential discretionary, timeline shortened, shift differential","security(34), agile(22), cicd(17), docker(17), java(17)",0.0,17.14,82.86,0.0,0,0.219,32,4496.3,5.0,9.74
