definition,side,family,period,source,n_of_all,n_of_denominator,share_of_all,share_of_denominator,mde_arshkon_vs_scraped,mde_pooled_vs_scraped,within_2024_effect,cross_period_effect,direction
J1,junior,label,2024-01,kaggle_asaniczka,18129,18129,0.01312813723867836,0.01312813723867836,0.0082674396044334,0.0031230177564181174,,,
J1,junior,label,2024-04,kaggle_arshkon,4691,4691,0.03773182690257941,0.03773182690257941,0.0082674396044334,0.0031230177564181174,,,
J1,junior,label,pooled-2024,kaggle_asaniczka+arshkon,22820,22820,0.018185801928133218,0.018185801928133218,0.0082674396044334,0.0031230177564181174,0.02460368966390105,0.01822437526806247,
J1,junior,label,2026-03,scraped,19740,19740,0.042907801418439716,0.042907801418439716,0.0082674396044334,0.0031230177564181174,0.02460368966390105,,
J1,junior,label,2026-04,scraped,25577,25577,0.03139539429956602,0.03139539429956602,0.0082674396044334,0.0031230177564181174,0.02460368966390105,,
J1,junior,label,pooled-2026,scraped,45317,45317,0.03641017719619569,0.03641017719619569,0.0082674396044334,0.0031230177564181174,0.02460368966390105,0.01822437526806247,up
J2,junior,label,2024-01,kaggle_asaniczka,18129,18129,0.015279386618125656,0.015279386618125656,0.00859253939594944,0.003310273919479133,,,
J2,junior,label,2024-04,kaggle_arshkon,4691,4691,0.04092943935195054,0.04092943935195054,0.00859253939594944,0.003310273919479133,,,
J2,junior,label,pooled-2024,kaggle_asaniczka+arshkon,22820,22820,0.020552147239263803,0.020552147239263803,0.00859253939594944,0.003310273919479133,0.02565005273382489,0.018528109617986233,
J2,junior,label,2026-03,scraped,19740,19740,0.04554204660587639,0.04554204660587639,0.00859253939594944,0.003310273919479133,0.02565005273382489,,
J2,junior,label,2026-04,scraped,25577,25577,0.0340931305469758,0.0340931305469758,0.00859253939594944,0.003310273919479133,0.02565005273382489,,
J2,junior,label,pooled-2026,scraped,45317,45317,0.039080256857250036,0.039080256857250036,0.00859253939594944,0.003310273919479133,0.02565005273382489,0.018528109617986233,up
J3,junior,yoe_llm,2024-01,kaggle_asaniczka,18129,14765,0.06718517292735396,0.08249238062986793,0.017467301313750835,0.008379363799422522,,,
J3,junior,yoe_llm,2024-04,kaggle_arshkon,4691,3454,0.09571519931784268,0.129994209612044,0.017467301313750835,0.008379363799422522,,,
J3,junior,yoe_llm,pooled-2024,kaggle_asaniczka+arshkon,22820,18219,0.07304995617879054,0.09149788682145013,0.017467301313750835,0.008379363799422522,0.04750182898217607,0.050425958919859404,
J3,junior,yoe_llm,2026-03,scraped,19740,9371,0.06869300911854104,0.14470173940881442,0.017467301313750835,0.008379363799422522,0.04750182898217607,,
J3,junior,yoe_llm,2026-04,scraped,25577,11140,0.06079680963365524,0.1395870736086176,0.017467301313750835,0.008379363799422522,0.04750182898217607,,
J3,junior,yoe_llm,pooled-2026,scraped,45317,20511,0.06423637928371251,0.14192384574130953,0.017467301313750835,0.008379363799422522,0.04750182898217607,0.050425958919859404,up
J4,junior,yoe_llm,2024-01,kaggle_asaniczka,18129,14765,0.16195046610403221,0.19884862851337623,0.02302352577087621,0.01178161820507208,,,
J4,junior,yoe_llm,2024-04,kaggle_arshkon,4691,3454,0.20059688765721595,0.27243775332947306,0.02302352577087621,0.01178161820507208,,,
J4,junior,yoe_llm,pooled-2024,kaggle_asaniczka+arshkon,22820,18219,0.1698948290972831,0.21279982435918546,0.02302352577087621,0.01178161820507208,0.07358912481609683,0.07616707145281784,
J4,junior,yoe_llm,2026-03,scraped,19740,9371,0.13627152988855115,0.28705581047913775,0.02302352577087621,0.01178161820507208,0.07358912481609683,,
