company_name_canonical,n_swe_postings,junior_share_j3,junior_share_j1_j2,is_aggregator,specialist_category
Amazon,549,0.1117,0.051,False,tech-giant-intern
Amazon Web Services (AWS),485,0.0612,0.0082,False,tech-giant-intern
TikTok,176,0.2727,0.608,False,direct-employer
PNC,135,0.12,0.0222,False,direct-employer
TikTok USDS Joint Venture,126,0.3913,0.0635,False,direct-employer
Discover Financial Services,96,0.125,0.0312,False,direct-employer
Jack & Jill,69,0.3529,0.0,False,direct-employer
Bowman Williams,56,0.0625,0.0,False,direct-employer
Stealth Startup,49,0.3478,0.0408,False,direct-employer
Applied Intuition,47,0.2581,0.0213,False,direct-employer
KLA,46,0.6129,0.1522,False,direct-employer
Goliath Partners,44,0.0,0.0,False,direct-employer
Turing,42,0.0,0.0476,True,aggregator
Intel,39,0.4286,0.1282,False,tech-giant-intern
General Atomics Aeronautical Systems,33,0.6154,0.0606,False,direct-employer
CrowdDoing,33,0.6667,0.0,False,direct-employer
Torc Robotics,33,0.381,0.0606,False,direct-employer
FieldAI,28,0.375,0.1071,False,direct-employer
Ramp,26,0.4286,0.1923,False,direct-employer
DRW,25,0.4286,0.0,False,direct-employer
Prudential Financial,25,0.3333,0.04,False,direct-employer
SynergisticIT,25,-1.0,1.0,False,direct-employer
Marvell Technology,24,0.4444,0.125,False,direct-employer
SGS Consulting,22,0.25,0.0,False,staffing
WayUp,21,1.0,0.9524,False,direct-employer
Air Apps,21,0.0,0.0,False,direct-employer
AaraTechnologies Inc,21,1.0,0.4762,True,aggregator
Tech Consulting,20,0.7778,0.45,False,staffing
FanDuel,20,0.25,0.0,False,direct-employer
Waystar,19,0.3333,0.0526,False,direct-employer
VolunteerMatch,18,1.0,0.1111,False,direct-employer
Innovation Works,18,0.3,0.2222,False,direct-employer
BeaconFire Inc.,18,0.7143,0.2222,False,direct-employer
Steampunk,18,0.1111,0.0,False,direct-employer
Forward,18,0.5714,0.0556,False,direct-employer
Rise Technical,18,1.0,0.1111,False,direct-employer
Delta Electronics Americas,18,0.1667,0.0,False,direct-employer
Prime Video & Amazon MGM Studios,17,0.0909,0.0,False,tech-giant-intern
Foxconn Industrial Internet - FII,17,0.7778,0.0588,False,direct-employer
Overland AI,17,0.6667,0.0,False,direct-employer
Peraton Labs,17,0.3333,0.0,False,direct-employer
Radley James,17,0.3333,0.1765,False,direct-employer
Glean,16,0.2857,0.0625,False,direct-employer
Molex,15,0.1429,0.0,False,direct-employer
Revature,15,0.5,0.3333,True,aggregator
Twitch,15,0.5714,0.0667,False,direct-employer
SkyWater Search Partners,14,0.1667,0.0714,False,direct-employer
Mastercard,13,0.0,0.0,False,direct-employer
