tech,category,period,seniority_final,n,mention_posts,total_mentions,chars,mention_rate_pct,mentions_per_1k_chars,tech_rank
.NET,backend_infra,2024-01,associate,1292,0,0,1818618,0.0,0.0,10.0
.NET,backend_infra,2024-01,director,86,0,0,218445,0.0,0.0,6.0
.NET,backend_infra,2024-01,entry,121,0,0,158075,0.0,0.0,5.0
.NET,backend_infra,2024-01,mid-senior,20544,7,7,33010694,0.03407320872274143,0.00021205249426140511,13.0
.NET,backend_infra,2024-04,associate,210,0,0,363992,0.0,0.0,9.0
.NET,backend_infra,2024-04,director,20,0,0,37210,0.0,0.0,4.0
.NET,backend_infra,2024-04,entry,773,0,0,1412080,0.0,0.0,11.0
.NET,backend_infra,2024-04,mid-senior,2783,2,3,4949682,0.07186489399928135,0.000606099543364604,13.0
.NET,backend_infra,2024-04,unknown,853,2,4,1010770,0.23446658851113714,0.0039573790278698414,9.0
.NET,backend_infra,2026-03,associate,114,0,0,208062,0.0,0.0,7.0
.NET,backend_infra,2026-03,director,26,0,0,79018,0.0,0.0,5.0
.NET,backend_infra,2026-03,entry,561,0,0,1182047,0.0,0.0,12.0
.NET,backend_infra,2026-03,mid-senior,3353,0,0,8511831,0.0,0.0,13.0
.NET,backend_infra,2026-03,unknown,264,0,0,772203,0.0,0.0,9.0
API design,backend_infra,2024-01,associate,1292,265,417,1818618,20.510835913312693,0.22929499213138768,1.0
API design,backend_infra,2024-01,director,86,7,10,218445,8.13953488372093,0.045778113483943325,1.0
API design,backend_infra,2024-01,entry,121,18,26,158075,14.87603305785124,0.1644788866044599,1.0
API design,backend_infra,2024-01,mid-senior,20544,4007,6697,33010694,19.50447819314642,0.20287365058123286,1.0
API design,backend_infra,2024-04,associate,210,41,68,363992,19.523809523809526,0.18681729268775138,1.0
API design,backend_infra,2024-04,director,20,7,11,37210,35.0,0.29561945713517873,1.0
API design,backend_infra,2024-04,entry,773,162,263,1412080,20.95730918499353,0.18625007081751743,1.0
API design,backend_infra,2024-04,mid-senior,2783,748,1269,4949682,26.877470355731226,0.25638010684322754,1.0
API design,backend_infra,2024-04,unknown,853,209,378,1010770,24.501758499413835,0.3739723181337,1.0
API design,backend_infra,2026-03,associate,114,30,57,208062,26.31578947368421,0.2739568013380627,1.0
API design,backend_infra,2026-03,director,26,7,9,79018,26.923076923076923,0.11389809916727833,1.0
API design,backend_infra,2026-03,entry,561,208,350,1182047,37.076648841354725,0.2960965173127634,1.0
API design,backend_infra,2026-03,mid-senior,3353,1269,2525,8511831,37.84670444378169,0.2966459272981336,1.0
API design,backend_infra,2026-03,unknown,264,95,225,772203,35.984848484848484,0.29137415938555017,1.0
AWS,cloud_devops,2024-01,associate,1292,177,340,1818618,13.69969040247678,0.18695514945964462,1.0
AWS,cloud_devops,2024-01,director,86,23,70,218445,26.744186046511626,0.32044679438760326,1.0
AWS,cloud_devops,2024-01,entry,121,20,37,158075,16.528925619834713,0.23406610786019294,2.0
AWS,cloud_devops,2024-01,mid-senior,20544,4771,8466,33010694,23.22332554517134,0.2564623452024365,1.0
AWS,cloud_devops,2024-04,associate,210,48,75,363992,22.857142857142858,0.20604848458207872,1.0
AWS,cloud_devops,2024-04,director,20,8,11,37210,40.0,0.29561945713517873,1.0
AWS,cloud_devops,2024-04,entry,773,187,401,1412080,24.191461836998705,0.2839782448586482,1.0
AWS,cloud_devops,2024-04,mid-senior,2783,920,1919,4949682,33.057851239669425,0.38770167457222504,1.0
AWS,cloud_devops,2024-04,unknown,853,202,445,1010770,23.681125439624854,0.44025841685051986,1.0
AWS,cloud_devops,2026-03,associate,114,31,58,208062,27.192982456140353,0.2787630610106603,1.0
AWS,cloud_devops,2026-03,director,26,13,27,79018,50.0,0.34169429750183505,1.0
AWS,cloud_devops,2026-03,entry,561,132,238,1182047,23.52941176470588,0.20134563177267908,1.0
AWS,cloud_devops,2026-03,mid-senior,3353,1382,3292,8511831,41.21682075753057,0.38675579907542806,1.0
AWS,cloud_devops,2026-03,unknown,264,115,242,772203,43.56060606060606,0.31338909587245845,2.0
AWS Lambda,cloud_devops,2024-01,associate,1292,0,0,1818618,0.0,0.0,18.0
AWS Lambda,cloud_devops,2024-01,director,86,0,0,218445,0.0,0.0,6.0
