tech,category,aliases
Python,languages,"('python',)"
Java,languages,"('java',)"
JavaScript,languages,"('javascript', 'js')"
TypeScript,languages,"('typescript', 'ts')"
Go,languages,"(' go ',)"
Rust,languages,"('rust',)"
C++,languages,"('cplusplus',)"
C#,languages,"('csharp',)"
Ruby,languages,"('ruby',)"
Kotlin,languages,"('kotlin',)"
Swift,languages,"('swift',)"
Scala,languages,"('scala',)"
Elixir,languages,"('elixir',)"
PHP,languages,"('php',)"
Bash,languages,"('bash', 'shell', 'bash shell')"
Perl,languages,"('perl',)"
R,languages,"(' r ',)"
MATLAB,languages,"('matlab',)"
Dart,languages,"('dart',)"
Objective-C,languages,"('objective c',)"
F#,languages,"('fsharp',)"
Lua,languages,"('lua',)"
React,frontend,"('react',)"
Angular,frontend,"('angular',)"
Vue,frontend,"('vue',)"
Next.js,frontend,"('nextjs',)"
Svelte,frontend,"('svelte',)"
HTML,frontend,"('html',)"
CSS,frontend,"('css',)"
Tailwind CSS,frontend,"('tailwind css', 'tailwind')"
Redux,frontend,"('redux',)"
Webpack,frontend,"('webpack',)"
Vite,frontend,"('vite',)"
jQuery,frontend,"('jquery',)"
Bootstrap,frontend,"('bootstrap',)"
Storybook,frontend,"('storybook',)"
Node.js,backend_infra,"('nodejs', 'node js')"
Express,backend_infra,"('express',)"
Django,backend_infra,"('django',)"
Flask,backend_infra,"('flask',)"
FastAPI,backend_infra,"('fastapi',)"
Spring,backend_infra,"('spring',)"
.NET,backend_infra,"('dotnet',)"
Rails,backend_infra,"('rails',)"
NestJS,backend_infra,"('nestjs',)"
GraphQL,backend_infra,"('graphql',)"
REST,backend_infra,"('rest api', 'restful', 'rest')"
gRPC,backend_infra,"('grpc',)"
Microservices,backend_infra,"('microservices',)"
Serverless,backend_infra,"('serverless',)"
Lambda,backend_infra,"('lambda', 'aws lambda')"
API design,backend_infra,"('api design', 'api', 'apis')"
AWS,cloud_devops,"('aws',)"
Azure,cloud_devops,"('azure',)"
GCP,cloud_devops,"('gcp', 'google cloud')"
Kubernetes,cloud_devops,"('kubernetes',)"
Docker,cloud_devops,"('docker',)"
Terraform,cloud_devops,"('terraform',)"
CI/CD,cloud_devops,"('cicd', 'ci cd')"
Jenkins,cloud_devops,"('jenkins',)"
GitHub Actions,cloud_devops,"('githubactions', 'github actions')"
GitLab CI,cloud_devops,"('gitlabci', 'gitlab ci')"
Ansible,cloud_devops,"('ansible',)"
Helm,cloud_devops,"('helm',)"
Linux,cloud_devops,"('linux',)"
Unix,cloud_devops,"('unix',)"
Apache,cloud_devops,"('apache',)"
Nginx,cloud_devops,"('nginx',)"
AWS Lambda,cloud_devops,"('aws lambda',)"
IaC,cloud_devops,"('infrastructure as code', 'iac')"
CloudFormation,cloud_devops,"('cloudformation',)"
Prometheus,cloud_devops,"('prometheus',)"
Grafana,cloud_devops,"('grafana',)"
Argo,cloud_devops,"('argo',)"
OpenShift,cloud_devops,"('openshift',)"
SQL,data,"(' sql ',)"
PostgreSQL,data,"('postgresql', 'postgres')"
MySQL,data,"('mysql',)"
MongoDB,data,"('mongodb',)"
Redis,data,"('redis',)"
Kafka,data,"('kafka',)"
Spark,data,"('spark',)"
Snowflake,data,"('snowflake',)"
Databricks,data,"('databricks',)"
dbt,data,"(' dbt ',)"
Airflow,data,"('airflow',)"
BigQuery,data,"('bigquery',)"
Redshift,data,"('redshift',)"
Elasticsearch,data,"('elasticsearch', 'elastic search')"
ClickHouse,data,"('clickhouse',)"
SQLite,data,"('sqlite',)"
Oracle,data,"('oracle',)"
Presto,data,"('presto',)"
Trino,data,"('trino',)"
Tableau,data,"('tableau',)"
Looker,data,"('looker',)"
Power BI,data,"('power bi',)"
dbt Cloud,data,"('dbt cloud',)"
TensorFlow,ai_ml_traditional,"('tensorflow',)"
PyTorch,ai_ml_traditional,"('pytorch',)"
scikit-learn,ai_ml_traditional,"('scikitlearn',)"
Pandas,ai_ml_traditional,"('pandas',)"
NumPy,ai_ml_traditional,"('numpy',)"
Jupyter,ai_ml_traditional,"('jupyter',)"
Keras,ai_ml_traditional,"('keras',)"
XGBoost,ai_ml_traditional,"('xgboost',)"
OpenCV,ai_ml_traditional,"('opencv',)"
MLflow,ai_ml_traditional,"('mlflow',)"
Hugging Face,ai_ml_traditional,"('hugging face', 'huggingface')"
DeepSpeed,ai_ml_traditional,"('deepspeed',)"
LightGBM,ai_ml_traditional,"('lightgbm',)"
CatBoost,ai_ml_traditional,"('catboost',)"
LangChain,ai_llm_new,"('langchain',)"
LangGraph,ai_llm_new,"('langgraph',)"
LlamaIndex,ai_llm_new,"('llamaindex',)"
Llama.cpp,ai_llm_new,"('llamacpp', 'llama cpp')"
Ollama,ai_llm_new,"('ollama',)"
vLLM,ai_llm_new,"('vllm',)"
RAG,ai_llm_new,"('retrieval augmented generation', 'retrieval augmented', 'rag')"
Vector database,ai_llm_new,"('vector database', 'vector db', 'vectordb')"
Pinecone,ai_llm_new,"('pinecone',)"
ChromaDB,ai_llm_new,"('chromadb', 'chroma db')"
OpenAI API,ai_llm_new,"('openai api', 'openai')"
Claude API,ai_llm_new,"('claude api', 'anthropic api')"
Gemini API,ai_llm_new,"('gemini api', 'google gemini')"
Prompt engineering,ai_llm_new,"('prompt engineering',)"
Fine-tuning,ai_llm_new,"('fine tuning', 'finetuning')"
MCP,ai_llm_new,"('model context protocol', 'mcp')"
Agent framework,ai_llm_new,"('agent framework', 'agent frameworks', 'agents framework')"
Function calling,ai_llm_new,"('function calling',)"
Embeddings,ai_llm_new,"('embeddings', 'embedding')"
Transformers,ai_llm_new,"('transformers',)"
Vector search,ai_llm_new,"('vector search',)"
Semantic search,ai_llm_new,"('semantic search',)"
Generative AI,ai_llm_new,"('generative ai', 'genai')"
Copilot,ai_tools,"('copilot',)"
Cursor,ai_tools,"('cursor',)"
ChatGPT,ai_tools,"('chatgpt',)"
Claude,ai_tools,"('claude',)"
Gemini,ai_tools,"('gemini',)"
Codex,ai_tools,"('codex',)"
Replit,ai_tools,"('replit',)"
Tabnine,ai_tools,"('tabnine',)"
Perplexity,ai_tools,"('perplexity',)"
GitHub Copilot,ai_tools,"('github copilot',)"
Jest,testing_practices,"('jest',)"
Pytest,testing_practices,"('pytest',)"
Selenium,testing_practices,"('selenium',)"
Cypress,testing_practices,"('cypress',)"
Playwright,testing_practices,"('playwright',)"
TDD,testing_practices,"('test driven development', 'test driven', 'tdd')"
Agile,testing_practices,"('agile',)"
Scrum,testing_practices,"('scrum',)"
Kanban,testing_practices,"('kanban',)"
Unit testing,testing_practices,"('unit testing',)"
Integration testing,testing_practices,"('integration testing',)"
Code review,testing_practices,"('code review',)"
QA,testing_practices,"(' qa ', 'quality assurance')"
CI testing,testing_practices,"('continuous integration',)"
BDD,testing_practices,"('behavior driven development', 'bdd')"
