archetype,n_2024,n_2026,score_median_2024,score_median_2026,score_delta_median
ai_ml_engineering,556,2014,0.08659906761590333,1.0413289716905387,0.9547299040746354
generic_software_engineer,3366,1915,-0.02804313819917162,0.7548358000393411,0.7828789382385127
cloud_devops,1645,1357,-0.00038134831059235543,0.917949593236877,0.9183309415474693
data_engineering,1662,1151,0.082380393420013,1.035338855489745,0.9529584620697319
backend_platform,754,869,0.21227510806972685,1.043826132793667,0.8315510247239403
frontend_react,1471,830,-0.1271351438413918,0.9575540774094734,1.0846892212508652
java_spring_backend,1430,604,-0.2494102302771705,0.73687408589011,0.9862843161672805
network_security_linux,1099,435,-0.04970653346134664,0.8256775218854238,0.8753840553467704
mobile_android_ios,556,433,-0.14489608726155484,0.834109777816483,0.9790058650780378
systems_engineering,2377,418,0.09485111567613524,0.8563106563949916,0.7614595407188564
customer_project_engineer,1272,385,0.06812976337456025,0.9288938406525297,0.8607640772779694
aws_cloud_services,1075,348,0.012180274704817168,0.5474222865867766,0.5352420118819594
technology_leadership,703,308,0.1358689219321741,0.9367243200141067,0.8008553980819326
test_engineering,637,238,0.06743504166861478,0.925253803602351,0.8578187619337362
python_backend_developer,460,232,-0.2727555650562064,0.9634830167110116,1.236238581767218
azure_dotnet_web,493,187,-0.15348369562806155,0.9121975339571236,1.0656812295851852
qa_test_automation,397,176,-0.06018371658067541,0.8329117477392071,0.8930954643198825
dotnet_web_sql,1157,164,-0.1754916014543529,0.934405757673492,1.109897359127845
recommendation_ecommerce,67,157,-0.21513486677568056,0.3999836646311375,0.615118531406818
angular_frontend,273,128,-0.28328675193387937,0.9390422398336369,1.2223289917675162
golang_cloud,140,57,-0.1990080823240093,0.8240589976187203,1.0230670799427295
internship_new_grad,56,50,-0.27394392616339347,0.5689195961590203,0.8428635223224138
