period_bucket,text_source,n,vocab_mean,em_dash_mean,sent_mean,ttr_mean,bullet_mean,desc_len_mean,score_mean,score_median,score_sd
2024,llm,21646,0.30612853004037605,0.031933158903691375,1415.2846797989819,0.581042718851589,0.20215302835521937,1458.9722812528873,-0.008556707835028913,-0.01934196657098146,0.4768888462665927
2024,raw,1174,0.23643975908620965,0.024017615754258117,2268.80641404368,0.5762904556475614,0.1174691940708414,2475.3228279386713,0.1576614101574624,0.116336696193822,0.5652699206538663
2026,llm,12456,0.5154714670187496,0.13434156960570345,1692.3487647950228,0.5889425878763722,4.647293691099838,1713.7453436095054,0.9428441035609989,0.8955771593995605,0.718629349085743
2026,raw,28425,0.3866287595136824,0.12749838462698057,2942.3434053725323,0.5805816626368406,4.831443267370783,3031.7049428320142,1.2338040801580172,1.21528376679394,0.7184375080846995
