company_name_canonical,n_2026,score_mean_2026,vocab_mean_2026,em_dash_mean_2026,bullet_mean_2026
Harvey,19,3.5378376366078768,0.8183373256428484,1.8649451542005928,3.3544771435519145
Fearless,11,3.533454962223175,0.4483079394335557,0.8049469904636186,6.3427418543863885
Alignerr,96,2.8404218379532344,0.41168656054721103,1.164066723660896,8.907751260742748
Clay,10,2.7841089216720336,0.3744178832726792,1.342310943709554,3.991575722021711
SynergisticIT,17,2.7693552720366816,0.06826715212197064,1.6486908768801565,2.6189031638145273
Sift,13,2.637895402179567,0.44166592384741993,1.301605995622979,4.922007366008748
Crusoe,25,2.5475989688972986,0.4630765315838892,0.8541722410042288,5.449323182686917
Air Apps,20,2.4620941010317616,0.03941908359098684,1.0478876271983064,6.516840912556354
"Docker, Inc",11,2.4555059526560967,0.598846455940838,0.46523270324044486,6.773770954393376
"Intelliforce-IT Solutions Group, LLC.",14,2.3597929132017015,0.42364882259336445,0.7441197206978352,4.974532465576826
True Anomaly,25,2.347699239479707,0.2531348945659096,0.7052867009304756,5.318956552994137
Peregrine,17,2.3453172690493522,1.294167903081602,0.9222443988241471,2.962162369938603
TRM Labs,11,2.3141309615909655,1.0684339338028663,0.4076097092629462,3.23561881519117
Anthropic,77,2.2925476337620574,0.5199708353529342,0.9100519068188244,2.514933618623006
Verisk,13,2.2877144377260983,0.35320092166720873,1.014368833338342,2.915390902329243
Anblicks,21,2.2439331503259075,1.0605861679932505,0.7680215770570877,6.953358328337073
Chime,14,2.2036054529048164,0.36706234187121967,0.8657477403004449,3.5505906151253592
Underdog.io -Apply to top tech jobs in 60 seconds. A place where companies apply to you,15,2.1547249089975504,0.6606297249404938,0.7518703138152567,5.171762087872412
Transamerica,19,2.1233495868392573,0.25667505166186283,0.23312811740643793,5.167957849718807
eBay,16,2.107037429819417,0.5246711941341147,0.6835606658595685,3.099144916011588
