company_name_canonical,n_2024,n_2026,score_mean_2024,score_mean_2026,vocab_mean_2024,vocab_mean_2026,em_dash_mean_2024,em_dash_mean_2026,bullet_mean_2024,bullet_mean_2026,ai_strict_2024,ai_strict_2026,ai_broad_2024,ai_broad_2026,breadth_resid_2024,breadth_resid_2026,desc_len_2024,desc_len_2026,score_delta,ai_strict_delta,ai_broad_delta,breadth_resid_delta,desc_len_delta
AMD,25,80,-0.05205927227172671,1.5004861352316703,0.27416155402226716,0.3722436877315357,0.0,0.465787573110532,0.0,3.780046579963332,0.04,0.05,0.64,0.85,-1.48072795912456,0.4890097494625674,1340.875,1917.1153846153845,1.552545407503397,0.010000000000000002,0.20999999999999996,1.9697377085871273,576.2403846153845
AMERICAN SYSTEMS,10,7,-0.03159989066806446,1.1818716417267063,0.4549686969840286,0.48626955217140616,0.0,0.12390038409119068,0.0,5.739671366570805,0.0,0.0,0.0,0.0,-1.5410336953807935,-4.471837241194976,1259.3333333333333,1263.0,1.213471532394771,0.0,0.0,-2.9308035458141823,3.6666666666667425
ASRC Federal,18,8,-0.12028296816476969,0.8936740969851391,0.2862687102909111,0.3671869711677706,0.0,0.0,0.0,4.8068293488863825,0.0,0.0,0.0,0.0,-3.054227295809402,-2.972998239098601,1353.5882352941176,1471.0,1.0139570651499088,0.0,0.0,0.08122905671080094,117.41176470588243
AT&T,9,23,-0.06781071293022611,1.4235661046998445,0.07281418785344848,0.3081249234651751,0.0,0.06709388317171179,0.0,5.681734077506073,0.1111111111111111,0.13043478260869565,0.1111111111111111,0.6521739130434783,4.444993852812603,6.3939791736606155,2047.4444444444443,2720.4,1.4913768176300706,0.019323671497584544,0.5410628019323671,1.9489853208480126,672.9555555555557
AbbVie,10,10,0.11872784177929312,0.9634193222161,0.3460295402514685,0.30026563476717694,0.022558087074216106,0.10184301035045426,0.0,3.977364874316583,0.0,0.1,0.2,0.4,-2.3659316491892937,3.367637984009277,2028.6,2298.8,0.844691480436807,0.1,0.2,5.73356963319857,270.2000000000003
Abbott,55,30,0.16578482695049893,1.2080584386922282,0.3137002253549,0.14913075107924315,0.00894099515275863,0.02084876616941549,0.007630609335499303,6.11878530117256,0.0,0.03333333333333333,0.07272727272727272,0.13333333333333333,-0.21284149664481616,-0.5425139326880846,2133.8727272727274,2413.375,1.0422736117417293,0.03333333333333333,0.06060606060606061,-0.3296724360432684,279.5022727272726
Accenture,12,54,-0.2800400237038379,0.9776419138628412,0.0,0.3343372154161361,0.0,0.14355125322820633,0.0,1.8763569948483354,0.08333333333333333,0.14814814814814814,0.08333333333333333,0.2777777777777778,-0.11547399842707673,4.375177218138903,1124.1666666666667,1388.0,1.257681937566679,0.06481481481481481,0.19444444444444448,4.49065121656598,263.83333333333326
Acro Service Corp,8,12,0.14104662863539863,1.156112569537489,0.383894581469005,0.36142853164078,0.0,0.0,1.6248031265133676,7.2844099414616466,0.0,0.0,0.0,0.0,-2.904822418688651,-2.308005705122808,1562.0,1221.75,1.0150659409020903,0.0,0.0,0.5968167135658433,-340.25
Actalent,39,238,-0.15989683967938184,1.5318841653059458,0.06530389755229404,0.24570859367406594,0.023997100192981364,0.22676567031307082,0.0,6.272573390644397,0.0,0.02100840336134454,0.0,0.0546218487394958,-3.773721989267219,-2.077481595756085,1260.5,1615.3055555555557,1.6917810049853277,0.02100840336134454,0.0546218487394958,1.6962403935111339,354.80555555555566
Addison Group,8,15,-0.37075732292421987,1.1951082882057567,0.06551362683438156,0.6227560686771948,0.0,0.07883789586688138,0.8020164986251146,8.186422599704803,0.0,0.0,0.0,0.3333333333333333,0.10402321642202628,0.006194367256341593,990.25,773.5714285714286,1.5658656111299765,0.0,0.3333333333333333,-0.09782884916568468,-216.67857142857144
Aditi Consulting,28,33,-0.12451029004428656,0.75276900368412,0.366279214801021,0.23439514836981676,0.0,0.0,0.1667160640189686,3.6238567277622535,0.03571428571428571,0.12121212121212122,0.03571428571428571,0.8484848484848485,-0.5327211654027029,-0.032684285814327176,980.0,1233.1666666666667,0.8772792937284066,0.0854978354978355,0.8127705627705628,0.5000368795883757,253.16666666666674
Adobe,18,127,0.9308313860182891,1.362514171325887,0.2614150383560096,0.4049396001495921,0.6768894169911285,0.36392950261086704,0.0,2.337372573866593,0.05555555555555555,0.23622047244094488,0.3888888888888889,0.9133858267716536,0.440003923639968,3.395293413269175,1448.5625,1629.3658536585365,0.43168278530759796,0.18066491688538933,0.5244969378827646,2.955289489629207,180.80335365853648
Adyen,5,6,0.15085135683373657,0.7456679321641255,0.5050569302207238,0.46244320728860616,0.0,0.0,0.0,3.065291600765915,0.0,0.0,0.0,0.0,-3.641068945081832,-2.409296828189452,1237.75,1527.0,0.5948165753303889,0.0,0.0,1.23177211689238,289.25
Agility Partners,6,8,-0.3689913961754952,0.922078607671674,0.27100271002710025,0.5127498837997703,0.0,0.0,0.0,6.247930246059708,0.16666666666666666,0.125,0.16666666666666666,0.25,-0.9515261242105252,0.9440853227991788,782.5,821.0,1.2910700038471692,-0.04166666666666666,0.08333333333333334,1.895611447009704,38.5
Agoda,11,25,0.15262473175234254,1.551823477812499,0.6513766913610907,0.9368759072169338,0.0,0.1566796831023395,0.0,4.089836188315797,0.0,0.0,0.2727272727272727,0.24,5.888794441936752,2.0561432446422803,1638.7272727272727,1757.4444444444443,1.3991987460601565,0.0,-0.032727272727272716,-3.8326511972944717,118.7171717171716
Akkodis,44,67,-0.14660552204068786,0.7731422604594301,0.2947167614067665,0.29656009838267805,0.0101010101010101,0.01682756745266184,0.41048544135303544,4.594080300651546,0.0,0.07462686567164178,0.18181818181818182,0.22388059701492538,-0.25482946380056093,-1.8501832622206185,1122.0697674418604,1653.7894736842106,0.919747782500118,0.07462686567164178,0.04206241519674356,-1.5953537984200574,531.7197062423502
"Akraya, Inc.",5,10,-0.3025387793899017,0.4417565243603091,0.0,0.5365518850888022,0.0,0.0,0.0,3.5387268301310377,0.0,0.0,0.0,0.3,-0.9205108707197859,1.2836588516269174,794.0,1004.3333333333334,0.7442953037502108,0.0,0.3,2.204169722346703,210.33333333333337
AllSTEM Connections,11,7,0.18976108998974067,1.4698934309938676,0.6245084114395292,0.5213273649605604,0.04216999123620516,0.0,0.01629779327879005,7.388714956935695,0.0,0.0,0.0,0.5714285714285714,3.358393557555038,0.26211689307388963,1956.1818181818182,2337.4,1.280132341004127,0.0,0.5714285714285714,-3.0962766644811484,381.21818181818185
Amazon,173,335,0.10168673824701568,0.9104059261485389,0.4305847813004376,0.4522595353632612,0.010070040270505601,0.07907589828524585,0.1944720800777301,2.7590688879726972,0.005780346820809248,0.05373134328358209,0.07514450867052024,0.4597014925373134,-2.553742948142103,-1.1664391622619568,1386.230303030303,1687.2931034482758,0.8087191879015232,0.047950996462772844,0.38455698386679316,1.387303785880146,301.06280041797277
Amazon Web Services (AWS),109,339,0.15649917066580982,1.1279108488535845,0.31536704850689673,0.3576218698530676,0.052296023581049046,0.19350388256533996,0.18236670529190707,2.184736834675608,0.009174311926605505,0.032448377581120944,0.07339449541284404,0.528023598820059,-2.550033241128428,-0.5593770074146146,1449.8285714285714,1754.4653465346535,0.9714116781877746,0.02327406565451544,0.45462910340721496,1.9906562337138132,304.63677510608204
Amentum,9,16,0.28275604726047865,0.986526392349965,0.16601673850083237,0.14944076675861256,0.0,0.0,0.0,5.092056911309528,0.0,0.0,0.1111111111111111,0.0625,-6.576448143523264,-1.4258571693174886,2354.125,2321.6666666666665,0.7037703450894863,0.0,-0.048611111111111105,5.150590974205775,-32.458333333333485
American Express,7,18,0.29853619205229215,1.5994098263926981,0.6579668278647068,0.4186315690033333,0.1861699793294494,0.06142991112413884,0.0,4.283785356693276,0.0,0.5,0.0,0.7222222222222222,0.7674279535792056,7.239054166473556,1610.2857142857142,2587.4,1.300873634340406,0.5,0.7222222222222222,6.471626212894351,977.1142857142859
"American Unit, Inc",9,7,-0.4473900434791262,1.988180352453573,0.17463694826187803,0.615902229901687,0.0,0.34099008595023655,0.0,9.590829560474807,0.0,0.2857142857142857,0.0,0.42857142857142855,0.8362830286329461,0.30675248538347866,1261.5555555555557,1351.0,2.4355703959326993,0.2857142857142857,0.42857142857142855,-0.5295305432494675,89.44444444444434
Ampcus Inc,5,20,-0.014293460129154289,1.1179808975934944,0.6258830717531599,0.1171875,0.0,0.0,0.0,10.524784676994418,0.0,0.15,0.0,0.35,0.9574055100680468,-0.8420024733719677,1207.4,765.6666666666666,1.1322743577226486,0.15,0.35,-1.7994079834400143,-441.73333333333346
Ampstek,16,34,-0.1718428595447022,0.08554574947087884,0.13816529892290424,0.08362372283124517,0.06815703380588876,0.012854792266556973,2.673614272895131,3.767205469026728,0.0,0.17647058823529413,0.0625,0.20588235294117646,2.122671553744582,2.986016305547161,686.6666666666666,804.2857142857143,0.257388609015581,0.17647058823529413,0.14338235294117646,0.863344751802579,117.6190476190477
