source,period,seniority_final_source,n
kaggle_arshkon,2024-04,llm,2917
kaggle_arshkon,2024-04,title_keyword,1771
kaggle_arshkon,2024-04,unknown,3
kaggle_asaniczka,2024-01,llm,5190
kaggle_asaniczka,2024-01,title_keyword,10654
kaggle_asaniczka,2024-01,unknown,2285
scraped,2026-03,llm,3474
scraped,2026-03,title_keyword,8716
scraped,2026-03,unknown,7587
scraped,2026-04,llm,3444
scraped,2026-04,title_keyword,9081
scraped,2026-04,title_manager,1
scraped,2026-04,unknown,8578
