period,n_total,n_entry_final,n_known_final,pct_entry_of_all,pct_entry_of_known
2024-01,18129,204,11746,1.13,1.74
2024-04,4691,175,2267,3.73,7.72
2026-03,19777,721,9352,3.65,7.71
2026-04,21104,554,9688,2.63,5.72
