source,period,n_native_entry,mean_yoe,median_yoe,pct_with_yoe,pct_yoe_le2,pct_yoe_le3,pct_yoe_ge5,pct_yoe_ge7
kaggle_arshkon,2024-04,738,4.18,3.0,62.06,17.75,31.44,26.42,9.49
scraped,2026-03,2264,2.34,2.0,39.62,32.29,34.45,4.24,1.59
scraped,2026-04,2425,2.37,2.0,37.98,30.68,33.07,3.96,1.73
