period,n_total,n_with_yoe,n_yoe_le2,n_yoe_le3,pct_yoe_le2_of_all,pct_yoe_le2_of_yoe_known,pct_yoe_le3_of_yoe_known
2024-01,18129,12834,1330,3128,7.34,10.36,24.37
2024-04,4691,2911,436,907,9.29,14.98,31.16
2026-03,19777,13356,2323,4540,11.75,17.39,33.99
2026-04,21104,14225,2419,4767,11.46,17.01,33.51
