source,period,seniority_final,n
kaggle_arshkon,2024-04,associate,15
kaggle_arshkon,2024-04,director,13
kaggle_arshkon,2024-04,entry,175
kaggle_arshkon,2024-04,mid-senior,2064
kaggle_arshkon,2024-04,unknown,2424
kaggle_asaniczka,2024-01,associate,24
kaggle_asaniczka,2024-01,director,92
kaggle_asaniczka,2024-01,entry,204
kaggle_asaniczka,2024-01,mid-senior,11426
kaggle_asaniczka,2024-01,unknown,6383
scraped,2026-03,associate,27
scraped,2026-03,director,150
scraped,2026-03,entry,721
scraped,2026-03,mid-senior,8454
scraped,2026-03,unknown,10425
scraped,2026-04,associate,25
scraped,2026-04,director,145
scraped,2026-04,entry,554
scraped,2026-04,mid-senior,8964
scraped,2026-04,unknown,11416
