source,period,n_yoe_known,n_yoe_le2,pct_yoe_le2,n_final_entry,pct_final_entry
kaggle_arshkon,2024-04,2911,436,14.98,65,2.23
kaggle_asaniczka,2024-01,12834,1330,10.36,100,0.78
scraped,2026-03,13356,2323,17.39,163,1.22
scraped,2026-04,14225,2419,17.01,155,1.09
