period_bucket,n,n_entry_final,pct_entry_final,pct_entry_final_of_known,n_yoe_le2,pct_yoe_le2,pct_yoe_le2_of_yoe_known
2024,22820,379,1.66,2.7,1766,7.74,11.22
2026,40881,1275,3.12,6.7,4742,11.6,17.19
