period_bucket,source,n,n_entry_final,pct_entry_final,n_yoe_le2,pct_yoe_le2
2024,kaggle_arshkon,4691,175,3.73,436,9.29
2024,kaggle_asaniczka,18129,204,1.13,1330,7.34
2026,scraped,40881,1275,3.12,4742,11.6
