tag,N_strict,N_lenient,kappa_strict,kappa_lenient,obs_agreement_strict,obs_agreement_lenient,recall_entry_strict,recall_associate_strict,recall_mid-senior_strict,recall_director_strict,recall_entry_lenient,recall_associate_lenient,recall_mid-senior_lenient,recall_director_lenient,n_native_entry_strict,n_native_associate_strict,n_native_mid-senior_strict,n_native_director_strict
arshkon,1667,3283,0.4541,0.184,0.8854,0.4496,0.5214,0.0488,0.9796,0.2609,0.0963,0.0152,0.6244,0.1935,140,82,1422,23
scraped_linkedin,15982,34839,0.6464,0.1351,0.9332,0.4281,0.8133,0.0184,0.982,0.2259,0.1884,0.005,0.4988,0.1709,1232,381,14099,270
