source,period,seniority_final_source,n,n_total_cell,pct_of_cell
kaggle_arshkon,2024-04,llm,2917,4691,62.18
kaggle_arshkon,2024-04,title_keyword,1771,4691,37.75
kaggle_arshkon,2024-04,unknown,3,4691,0.06
kaggle_asaniczka,2024-01,llm,5190,18129,28.63
kaggle_asaniczka,2024-01,title_keyword,10654,18129,58.77
kaggle_asaniczka,2024-01,unknown,2285,18129,12.6
scraped,2026-03,llm,3474,19777,17.57
scraped,2026-03,title_keyword,8716,19777,44.07
scraped,2026-03,unknown,7587,19777,38.36
scraped,2026-04,llm,3444,21104,16.32
scraped,2026-04,title_keyword,9081,21104,43.03
scraped,2026-04,title_manager,1,21104,0.0
scraped,2026-04,unknown,8578,21104,40.65
