period,boundary,n_a,n_b,auc_mean,auc_std,top_features
2024,yoe_low↔yoe_mid,2047,10592,0.5990621845393556,0.013390112394472464,mentor_density:+0.246; text_len:-0.149; edu_level:-0.139; tech_count:+0.126; people_mgmt_density:+0.124
2024,yoe_mid↔yoe_high,10592,7156,0.5778843091495229,0.009962614271156106,people_mgmt_density:+0.321; text_len:+0.163; ai_mention_validated:-0.161; scope_density:-0.056; tech_count:-0.035
2026,yoe_low↔yoe_mid,4022,12973,0.6356804793624861,0.015075466788626384,edu_level:-0.412; mentor_density:+0.202; tech_count:+0.149; ai_mention_validated:+0.081; text_len:+0.036
2026,yoe_mid↔yoe_high,12973,7214,0.5720920794027222,0.004933968133929823,mentor_density:+0.212; ai_mention_validated:-0.121; tech_count:+0.093; text_len:+0.067; people_mgmt_density:+0.031
