period,n_entry,n_associate,n_mid_senior,dist_assoc_to_entry,dist_assoc_to_mid,ratio
2024,977,1692,24466,3.3377215786413115,5.439851785836431,0.6135684774938286
2026,4656,996,26805,3.645394600394649,4.697995680837359,0.7759467754489201
