period,level_a,level_b,seniority_col,n_a,n_b,auc_mean,auc_std,reason,top_features_str
2024,entry,associate,seniority_best_available_combined,241,84,0.7798369347739096,0.04374887272670771,ok,edu_level:+1.082; yoe_extracted_or_median:+0.476; mentor_density:-0.449; scope_density:+0.383; tech_count:-0.363
2024,associate,mid-senior,seniority_best_available_combined,84,7707,0.8251269801761938,0.027416912863654417,ok,mentor_density:+0.779; edu_level:-0.745; yoe_extracted_or_median:+0.672; people_mgmt_density:+0.585; tech_count:+0.460
2024,mid-senior,director,seniority_best_available_combined,7707,61,0.7204304197253089,0.1154089226797325,ok,text_len:+0.419; tech_count:-0.376; yoe_extracted_or_median:+0.316; scope_density:+0.230; people_mgmt_density:+0.167
2026,entry,associate,seniority_best_available_combined,390,30,0.6803418803418804,0.06799573710495316,ok,edu_level:-0.401; ai_mention_validated:-0.374; yoe_extracted_or_median:-0.357; scope_density:-0.338; text_len:+0.326
2026,associate,mid-senior,seniority_best_available_combined,30,3639,0.7765429836096962,0.09434226873525028,ok,yoe_extracted_or_median:+1.229; mentor_density:+0.509; scope_density:+0.435; ai_mention_validated:+0.424; text_len:+0.236
2026,mid-senior,director,seniority_best_available_combined,3639,128,0.711161426606406,0.03787528225853246,ok,mentor_density:-1.021; scope_density:+0.431; tech_count:+0.372; edu_level:+0.301; text_len:+0.258
2024,entry,associate,seniority_best_available_aug,339,1079,0.6193116132931633,0.034539457911020546,ok,yoe_extracted_or_median:+0.425; text_len:+0.314; edu_level:-0.129; mentor_density:+0.117; tech_count:-0.089
2024,associate,mid-senior,seniority_best_available_aug,1079,21908,0.6916799797520798,0.012240121613414645,ok,yoe_extracted_or_median:+0.640; people_mgmt_density:+0.444; tech_count:+0.388; mentor_density:+0.260; edu_level:+0.144
2024,mid-senior,director,seniority_best_available_aug,21908,112,0.7438033049317463,0.07259476042745482,ok,edu_level:+0.431; yoe_extracted_or_median:+0.386; scope_density:+0.327; text_len:+0.270; tech_count:-0.200
2026,entry,associate,seniority_best_available_aug,4076,842,0.5606957959458272,0.015733114675896522,ok,edu_level:-0.140; text_len:+0.137; scope_density:+0.095; yoe_extracted_or_median:-0.089; tech_count:+0.086
2026,associate,mid-senior,seniority_best_available_aug,842,24832,0.7224485221930589,0.004651805350176575,ok,yoe_extracted_or_median:+0.935; mentor_density:+0.317; text_len:+0.185; scope_density:+0.157; edu_level:+0.151
2026,mid-senior,director,seniority_best_available_aug,24832,372,0.6863535621912575,0.0249361265773294,ok,yoe_extracted_or_median:+0.352; scope_density:+0.288; edu_level:+0.286; mentor_density:-0.254; tech_count:+0.234
2024,entry,associate,seniority_final,977,1692,0.5535129346582903,0.033545202552786764,ok,tech_count:-0.190; text_len:+0.142; scope_density:+0.081; people_mgmt_density:-0.052; ai_mention_validated:-0.043
2024,associate,mid-senior,seniority_final,1692,24466,0.6898828117375786,0.012842577284437483,ok,yoe_extracted_or_median:+0.663; people_mgmt_density:+0.430; tech_count:+0.394; mentor_density:+0.262; edu_level:+0.142
2024,mid-senior,director,seniority_final,24466,113,0.7511214241872359,0.05723036979060278,ok,yoe_extracted_or_median:+0.426; edu_level:+0.387; scope_density:+0.337; text_len:+0.216; tech_count:-0.176
2026,entry,associate,seniority_final,4656,996,0.5519381945199414,0.028788135295743048,ok,text_len:+0.135; edu_level:-0.110; scope_density:+0.107; tech_count:+0.065; mentor_density:+0.041
2026,associate,mid-senior,seniority_final,996,26805,0.7109323843616515,0.017342846961615217,ok,yoe_extracted_or_median:+0.862; mentor_density:+0.283; text_len:+0.209; scope_density:+0.137; edu_level:+0.129
2026,mid-senior,director,seniority_final,26805,351,0.6856138922698662,0.038299141649102385,ok,yoe_extracted_or_median:+0.383; scope_density:+0.296; edu_level:+0.234; mentor_density:-0.223; tech_count:+0.194
