a_period,a_seniority,b_period,b_seniority,distance,a_n,b_n
2024,entry,2024,associate,0.878790207795892,977,1692
2024,entry,2024,mid-senior,2.66862098882507,977,24466
2024,entry,2024,director,5.860999274347047,977,113
2024,entry,2026,entry,2.4029527396313637,977,4656
2024,entry,2026,associate,2.9859613951145927,977,996
2024,entry,2026,mid-senior,5.132297376435646,977,26805
2024,entry,2026,director,6.42500131116549,977,351
2024,associate,2024,mid-senior,2.566176137851506,1692,24466
2024,associate,2024,director,5.603901894364988,1692,113
2024,associate,2026,entry,2.483606774671009,1692,4656
2024,associate,2026,associate,2.91710627665744,1692,996
2024,associate,2026,mid-senior,4.9418722963158705,1692,26805
2024,associate,2026,director,6.208792289187543,1692,351
2024,mid-senior,2024,director,4.3677804808037,24466,113
2024,mid-senior,2026,entry,2.9019059697416822,24466,4656
2024,mid-senior,2026,associate,3.013381326444036,24466,996
2024,mid-senior,2026,mid-senior,3.5936905792906835,24466,26805
2024,mid-senior,2026,director,4.988791106729728,24466,351
2024,director,2026,entry,5.668940697124512,113,4656
2024,director,2026,associate,5.735824350703966,113,996
2024,director,2026,mid-senior,5.954296294940058,113,26805
2024,director,2026,director,5.750444353983409,113,351
2026,entry,2026,associate,0.9411210753702215,4656,996
2026,entry,2026,mid-senior,3.4611873485798617,4656,26805
2026,entry,2026,director,4.592140422122695,4656,351
2026,associate,2026,mid-senior,2.8358737049514855,996,26805
2026,associate,2026,director,4.01848069586737,996,351
2026,mid-senior,2026,director,2.3921681632484804,26805,351
