bucket,n_companies,n_posts,mean_desc_len,entry_share,yoe_le2,ai_rate,aggregator_share
returning,2024,22564,5142,0.0618,0.1910,0.1731,0.1393
new_2026,5916,18317,4629,0.0738,0.1459,0.2059,0.1997
