company,posts,distinct_descs,dup_ratio
"maven",15,13,1.154
"hackajob",10,9,1.111
"Selby Jennings",11,10,1.100
"Apex Systems",52,52,1.000
"Capital One",52,52,1.000
"Motion Recruitment",40,40,1.000
"Tata Consultancy Services",39,39,1.000
"Amazon",31,31,1.000
"Open Systems Technologies",31,31,1.000
"Fidelity Investments",29,29,1.000
"Experis",26,26,1.000
"Compunnel Inc.",26,26,1.000
"ICE",26,26,1.000
"CodeMonk",25,25,1.000
"Insight Global",25,25,1.000
"Akkodis",25,25,1.000
"TEKsystems",23,23,1.000
"Actalent",23,23,1.000
"Deloitte",22,22,1.000
"Robert Half",20,20,1.000
