description_hash,posts,n_companies
e5a1e1b827f1ed20a47983a96c57f9ea641c87d3ef13bd54e66a99818196050e,6,6
478535a5729389776697cbcb5311c261eb744eac3c68a32a2f9c842515de8f15,5,5
d6382765aea80f4a41cb700c64ef701c4a3ce97fb31ba7c74fd908c436300acc,5,5
a57f8cae8a82435edf7b6ad8941dea63db903b8235ce253c32bb80eb5216578c,5,5
a48575f170b6a19f7a10ae76bb61f5ca5b0ed778d81c3a4e9beaedde688363d6,5,5
7433b0a1eb7edbcfa70b88979515bfb091c3ceb7aac70a2600c4ee3d1434e136,5,5
6d173252fddbac1d34f182f545985983a12ee9e50c438a9c16c1029b5683dd33,5,5
af380f79788d9f656b63f10bed3081de0a32988b53fa7524622343693a6842ff,4,4
36092133f6644fc42ff25293a64624d6e50f68be65cbfd784781675e26532d16,3,3
1f237cb239377b91a6eaac02884bf8a94399043666a968a26ed88ac3dbccebd4,2,2
18a531b86d616034b15e69a0796dd5fbd15c25d88c7428d462b8eec051536aa9,2,2
2f26e2ffc8f6a428490cdb6199591d806e0970d85c4faa9b183a0bbc9dba8ada,2,2
65b44a823d3725a970ba5788f552c1a6dd22a747dd7c3d9f7b25bf49c5ae8f80,2,2
438e8c4d4b26b637e6a9571226adb7f1b14867810557b37289335467c3989264,2,2
c2d21e27fa6c8bf5c332da790fde2252f18d142f31950e48cced90919865943e,2,2
5cca55f711080e89235e639d6e703661f52a54d27ab655c4ea97238f36422088,2,2
6dcdff431e23e865e933765be24e4882f9e984d805f9b00c1ea3dcb7ff4fbb1d,2,2
be294d70b92850d62e827e28240da262609e5eefd72ccbf6efe8a9cd4efbd25a,2,2
70c90c69e53eb6d8cfe2d829295878cac5a77d5da9367105ef943eb21f6be187,2,2
5da1bcc3e630fb7ba5a936854ac60a055c3726f5e8e4836e895916e3b1c58a34,2,2
8d2157c76a4574f47d2af638d7276e870c8e321bfac8e71daee2e85c276dda7f,2,2
ffbfb24769b09b4cf816061b3c48a8ade50130ffddc09f3c216178a625685a08,2,2
1c27c0e8bf983ff36022a34abb848cbb05bfaa70a9d54c83dfbf2637d8c714ae,2,2
6d7477cda44ab3ef761d3d1ddc68b7c491f17d5f03f585a883909032401b0fe6,2,2
96c3cb6f5c1e293fec1180430ca85921b4fa79f450b348ad89c9ad160af50024,2,2
2869b620aa95c7f21d84af52ee97095ecb8b22a068a6ad9da5416adaec208050,2,2
12d3483cb6ed61c1bf338d6ab263b4d74d492b75cf732281bbf24c81cbc00928,2,2
b0c47c150819f5e92c642cb75e0a4102a84ef8ddbbbf626db38aac41806191c9,2,2
20be1f5624ed9e2de1f30e00009043ebdf1503c3b96311992c2699d9792c2c7a,2,2
a443c49624a449338c8a09334aa25e9756ef51888e34a0275f98ea83fa0ab7a0,2,2
