source,exclude_aggregators,n_companies,n_postings,hhi,gini,top1_share,top5_share,top10_share,top20_share,top50_share,singletons,singleton_share
kaggle_arshkon,False,2298,4646,15.6060,0.4335,0.0112,0.0461,0.0758,0.1229,0.2088,1586,0.6902
kaggle_arshkon,True,2235,4216,13.2785,0.3991,0.0123,0.0401,0.0676,0.1044,0.1829,1558,0.6971
kaggle_asaniczka,False,4948,18129,54.4077,0.6412,0.0495,0.1217,0.1604,0.2111,0.3062,2915,0.5891
kaggle_asaniczka,True,4814,15186,19.0631,0.5877,0.0192,0.0579,0.0914,0.1405,0.2353,2846,0.5912
scraped,False,7940,40881,36.1131,0.6925,0.0419,0.0942,0.1291,0.1806,0.2692,3896,0.4907
scraped,True,7241,34081,23.6336,0.6723,0.0222,0.0721,0.1106,0.1656,0.2513,3659,0.5053
