source,is_aggregator,n,mean_desc_len,entry_share,yoe_le2_share,mean_yoe,ai_rate
kaggle_arshkon,False,4261,3359,0.0783,0.1552,5.21,0.0293
kaggle_arshkon,True,430,2780,0.0636,0.0902,5.36,0.0163
kaggle_asaniczka,False,15186,3805,0.0199,0.1100,5.76,0.0286
kaggle_asaniczka,True,2943,4276,0.0070,0.0687,5.99,0.0245
scraped,False,34081,5113,0.0648,0.1785,4.98,0.1912
scraped,True,6800,3905,0.0825,0.1319,5.46,0.1707
