source,n_companies,any_entry_final_companies,any_entry_final_share,any_yoe_le2_companies,n_companies_ge5,zero_entry_ge5,zero_entry_ge5_share,zero_yoe_ge5,zero_yoe_ge5_share,specialists_entry_final,specialist_share_ge5
kaggle_arshkon,2298,147,0.0640,320,164,130,0.7927,93,0.5671,3,0.0183
kaggle_asaniczka,4948,145,0.0293,781,632,562,0.8892,367,0.5807,3,0.0047
scraped,7940,664,0.0836,1555,1500,1191,0.7940,796,0.5307,59,0.0393
