period,dow,n,ai_rate,entry_native,median_len
2026-03,0,2289,0.24945391000436873,0.12291105121293801,3923.0
2026-03,1,1789,0.2179988820570151,0.15620915032679739,3313.0
2026-03,2,5111,0.23850518489532382,0.1397538015930485,3586.0
2026-03,3,2801,0.23277400928239914,0.16438959894226532,3732.0
2026-03,4,2595,0.2535645472061657,0.1213982050070855,3838.0
2026-03,5,5742,0.2729014280738419,0.1340333539221742,3879.0
2026-03,6,3727,0.24309095787496646,0.14822006472491908,3774.0
2026-04,0,1138,0.24868189806678384,0.10864978902953587,3897.5
2026-04,1,596,0.2197986577181208,0.09251968503937008,3053.5
2026-04,3,2773,0.24918860439956725,0.12144373673036093,3707.0
2026-04,4,1651,0.24530587522713507,0.13284671532846715,3619.0
2026-04,5,2481,0.2660217654171705,0.12535612535612536,3783.0
2026-04,6,2369,0.2313212325875897,0.15811301192327631,4002.0
