group_name,sensitivity,lower,upper,n,n_lower,n_upper,n_splits,auc_mean,auc_sd,status,domain_group,period_group
2026:AI/LLM,raw_primary,associate,mid-senior,1599,1,1598,0,,,thin,AI/LLM,2026
2026:AI/LLM,raw_primary,mid-senior,director,1633,1598,35,5,0.6741796350201523,0.11572283658373517,ok,AI/LLM,2026
2026:Frontend,raw_primary,associate,mid-senior,1045,0,1045,0,,,thin,Frontend,2026
2026:Frontend,raw_primary,mid-senior,director,1075,1045,30,5,0.6275917065390749,0.047194515881739424,ok,Frontend,2026
2026:Embedded,raw_primary,associate,mid-senior,1657,2,1655,0,,,thin,Embedded,2026
2026:Embedded,raw_primary,mid-senior,director,1659,1655,4,0,,,thin,Embedded,2026
2026:Data,raw_primary,associate,mid-senior,1271,8,1263,5,0.5614075537988582,0.07421495525592982,ok,Data,2026
2026:Data,raw_primary,mid-senior,director,1286,1263,23,5,0.7199297321036452,0.0907277694812806,ok,Data,2026
2026:Infra,raw_primary,associate,mid-senior,2289,3,2286,0,,,thin,Infra,2026
2026:Infra,raw_primary,mid-senior,director,2332,2286,46,5,0.6879984966189853,0.06705267963453175,ok,Infra,2026
2024:AI/LLM,raw_primary,associate,mid-senior,184,1,183,0,,,thin,AI/LLM,2024
2024:AI/LLM,raw_primary,mid-senior,director,186,183,3,0,,,thin,AI/LLM,2024
2024:Frontend,raw_primary,associate,mid-senior,1380,3,1377,0,,,thin,Frontend,2024
2024:Frontend,raw_primary,mid-senior,director,1380,1377,3,0,,,thin,Frontend,2024
2024:Embedded,raw_primary,associate,mid-senior,1768,3,1765,0,,,thin,Embedded,2024
2024:Embedded,raw_primary,mid-senior,director,1781,1765,16,5,0.718932955618508,0.2181771632518305,ok,Embedded,2024
2024:Data,raw_primary,associate,mid-senior,1504,3,1501,0,,,thin,Data,2024
2024:Data,raw_primary,mid-senior,director,1508,1501,7,5,0.5026290143964562,0.3979807231970143,ok,Data,2024
2024:Infra,raw_primary,associate,mid-senior,1069,2,1067,0,,,thin,Infra,2024
2024:Infra,raw_primary,mid-senior,director,1069,1067,2,0,,,thin,Infra,2024
