group_name,sensitivity,lower,upper,n,n_lower,n_upper,n_splits,auc_mean,auc_sd,status
2024,raw_primary,entry,associate,356,333,23,5,0.5048937132519222,0.14823759693932545,ok
2024,raw_primary,associate,mid-senior,13017,23,12994,5,0.7642161505239328,0.11695148357263518,ok
2024,raw_primary,mid-senior,director,13092,12994,98,5,0.7065200890644345,0.08377475505087863,ok
2026,raw_primary,entry,associate,1070,1042,28,5,0.7184791743344376,0.06919623300740288,ok
2026,raw_primary,associate,mid-senior,15562,28,15534,5,0.7733322984822714,0.05094408119202255,ok
2026,raw_primary,mid-senior,director,15799,15534,265,5,0.6650232268823728,0.014027587475510086,ok
2024,cleaned_labeled,entry,associate,347,324,23,5,0.6584038461538462,0.12349140694298288,ok
2024,cleaned_labeled,associate,mid-senior,11274,23,11251,5,0.7239956542771114,0.11233221593297629,ok
2024,cleaned_labeled,mid-senior,director,11336,11251,85,5,0.7027634974143664,0.0844391884270599,ok
2026,cleaned_labeled,entry,associate,313,285,28,5,0.7121637426900586,0.09736833324548669,ok
2026,cleaned_labeled,associate,mid-senior,2929,28,2901,5,0.761378162897897,0.15117354014694134,ok
2026,cleaned_labeled,mid-senior,director,2953,2901,52,5,0.599238762483881,0.09226902520045681,ok
