source,period,occ,seniority_final,n
kaggle_arshkon,2024-04,adjacent,associate,11
kaggle_arshkon,2024-04,adjacent,director,29
kaggle_arshkon,2024-04,adjacent,entry,94
kaggle_arshkon,2024-04,adjacent,mid-senior,1108
kaggle_arshkon,2024-04,adjacent,unknown,1154
kaggle_arshkon,2024-04,control,associate,49
kaggle_arshkon,2024-04,control,director,207
kaggle_arshkon,2024-04,control,entry,914
kaggle_arshkon,2024-04,control,mid-senior,1824
kaggle_arshkon,2024-04,control,unknown,5620
kaggle_arshkon,2024-04,swe,associate,15
kaggle_arshkon,2024-04,swe,director,13
kaggle_arshkon,2024-04,swe,entry,175
kaggle_arshkon,2024-04,swe,mid-senior,2064
kaggle_arshkon,2024-04,swe,unknown,2424
kaggle_asaniczka,2024-01,adjacent,associate,12
kaggle_asaniczka,2024-01,adjacent,director,41
kaggle_asaniczka,2024-01,adjacent,entry,119
kaggle_asaniczka,2024-01,adjacent,mid-senior,5740
kaggle_asaniczka,2024-01,adjacent,unknown,3508
kaggle_asaniczka,2024-01,control,associate,13
kaggle_asaniczka,2024-01,control,director,592
kaggle_asaniczka,2024-01,control,entry,1165
kaggle_asaniczka,2024-01,control,mid-senior,25102
kaggle_asaniczka,2024-01,control,unknown,78469
kaggle_asaniczka,2024-01,swe,associate,8
kaggle_asaniczka,2024-01,swe,director,85
kaggle_asaniczka,2024-01,swe,entry,158
kaggle_asaniczka,2024-01,swe,mid-senior,10930
kaggle_asaniczka,2024-01,swe,unknown,6948
scraped,2026-03,adjacent,associate,33
scraped,2026-03,adjacent,director,73
scraped,2026-03,adjacent,entry,250
scraped,2026-03,adjacent,mid-senior,2614
scraped,2026-03,adjacent,unknown,2631
scraped,2026-03,control,associate,12
scraped,2026-03,control,director,237
scraped,2026-03,control,entry,707
scraped,2026-03,control,mid-senior,6261
scraped,2026-03,control,unknown,12580
scraped,2026-03,swe,associate,15
scraped,2026-03,swe,director,143
scraped,2026-03,swe,entry,664
scraped,2026-03,swe,mid-senior,8298
scraped,2026-03,swe,unknown,10676
scraped,2026-04,adjacent,associate,13
scraped,2026-04,adjacent,director,51
scraped,2026-04,adjacent,entry,141
scraped,2026-04,adjacent,mid-senior,2188
scraped,2026-04,adjacent,unknown,2469
scraped,2026-04,control,associate,8
scraped,2026-04,control,director,200
scraped,2026-04,control,entry,422
scraped,2026-04,control,mid-senior,5284
scraped,2026-04,control,unknown,11601
scraped,2026-04,swe,associate,13
scraped,2026-04,swe,director,122
scraped,2026-04,swe,entry,378
scraped,2026-04,swe,mid-senior,7236
scraped,2026-04,swe,unknown,9607
