source,seniority_final_source,n,pct_of_source
kaggle_arshkon,llm,2917,62.18290343210403
kaggle_arshkon,title_keyword,1771,37.75314431890855
kaggle_arshkon,unknown,3,0.06395224898742273
kaggle_asaniczka,title_keyword,10654,58.76772022726019
kaggle_asaniczka,llm,5190,28.62816481879861
kaggle_asaniczka,unknown,2285,12.604114953941199
scraped,title_keyword,17797,43.53367089846139
scraped,unknown,16165,39.541596340598325
scraped,llm,6918,16.92228663682395
scraped,title_manager,1,0.002446124116337663
