period,seniority_final_source,n,pct_of_period
2024-01,title_keyword,10654,58.76772022726019
2024-01,llm,5190,28.62816481879861
2024-01,unknown,2285,12.604114953941199
2024-04,llm,2917,62.18290343210403
2024-04,title_keyword,1771,37.75314431890855
2024-04,unknown,3,0.06395224898742273
2026-03,title_keyword,8716,44.07139606613743
2026-03,unknown,7587,38.36274460231582
2026-03,llm,3474,17.565859331546747
2026-04,title_keyword,9081,43.02975739196361
2026-04,unknown,8578,40.64632297194844
2026-04,llm,3444,16.319181197877178
2026-04,title_manager,1,0.0047384382107657315
