source,seniority_final,n,avg_yoe,q25,q50,q75
kaggle_arshkon,associate,11,2.909090909090909,2.0,2.0,4.0
kaggle_arshkon,director,13,6.923076923076923,5.0,5.0,10.0
kaggle_arshkon,entry,65,2.046153846153846,1.0,2.0,2.0
kaggle_arshkon,mid-senior,1396,6.0479942693409745,4.0,5.0,8.0
kaggle_arshkon,unknown,1426,4.560308555399719,3.0,4.0,5.0
kaggle_asaniczka,associate,16,3.5,2.0,2.0,4.0
kaggle_asaniczka,director,74,8.445945945945946,5.0,8.0,12.0
kaggle_asaniczka,entry,100,2.58,1.0,2.0,3.0
kaggle_asaniczka,mid-senior,8545,6.183265067290813,4.0,5.0,8.0
kaggle_asaniczka,unknown,4099,5.034154671871188,3.0,5.0,6.0
scraped,associate,35,2.742857142857143,2.0,2.0,3.0
scraped,director,210,7.004761904761905,5.0,6.0,10.0
scraped,entry,318,1.9182389937106918,1.0,2.0,2.0
scraped,mid-senior,13129,5.809201005407876,4.0,5.0,7.0
scraped,unknown,13889,4.375908992728058,3.0,4.0,5.0
