source,swe_classification_tier,total,swe
kaggle_arshkon,unresolved,96319,0.0
kaggle_arshkon,regex,12220,4158.0
kaggle_arshkon,title_lookup_llm,1072,456.0
kaggle_arshkon,embedding_adjacent,672,0.0
kaggle_arshkon,embedding_high,77,77.0
kaggle_asaniczka,unresolved,737777,0.0
kaggle_asaniczka,regex,101370,15775.0
kaggle_asaniczka,title_lookup_llm,4477,1968.0
kaggle_asaniczka,embedding_adjacent,3516,0.0
kaggle_asaniczka,embedding_high,386,386.0
scraped,unresolved,192033,0.0
scraped,regex,78893,42240.0
scraped,title_lookup_llm,4821,2403.0
scraped,embedding_adjacent,4385,0.0
scraped,embedding_high,674,674.0
